# TotalGas TotalStar DiscGas DiscColdGas SFGas DiscStar
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
8.466051076538860798e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.742263120831921697e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.109785273205488920e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.667481894604861736e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.993582165800035000e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.123211790807545185e-04 0.000000000000000000e+00 6.202663826115895063e-06 6.202663826115895063e-06 0.000000000000000000e+00 0.000000000000000000e+00
7.703180890530347824e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.236065756529569626e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.442461390979588032e-03 0.000000000000000000e+00 7.313778041861951351e-06 7.313778041861951351e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.736873924732208252e-03 0.000000000000000000e+00 1.549706576042808592e-05 7.539532361988676712e-06 1.549706576042808592e-05 0.000000000000000000e+00
3.198993857949972153e-03 8.183779755199793726e-06 7.632468623341992497e-06 7.632468623341992497e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.721757024526596069e-03 7.537895271525485441e-06 1.695003629720304161e-05 1.695003629720304161e-05 8.609898031863849610e-06 0.000000000000000000e+00
4.229496233165264130e-03 7.240156719490187243e-06 2.922153726103715599e-05 2.364973443036433309e-05 1.524308481748448685e-05 0.000000000000000000e+00
5.771152675151824951e-03 3.977787400799570605e-06 9.139120811596512794e-05 3.217101402697153389e-05 7.952951273182407022e-05 0.000000000000000000e+00
7.192382588982582092e-03 1.016562964650802314e-05 1.285855832975357771e-04 2.346622568438760936e-05 1.112877653213217854e-04 3.834959898085799068e-06
1.225543674081563950e-02 2.904975553974509239e-05 2.293185098096728325e-04 2.054456672340165824e-05 2.228008961537852883e-04 9.433057130081579089e-06
1.606954075396060944e-02 4.875582089880481362e-05 4.546963900793343782e-04 1.325850462308153510e-05 4.487067344598472118e-04 1.349639205727726221e-05
2.208645269274711609e-02 6.458365533035248518e-05 3.756372025236487389e-04 7.161295798141509295e-05 3.551387344487011433e-04 3.634011955000460148e-05
2.114971540868282318e-02 1.140989479608833790e-04 5.385545082390308380e-04 9.478385618422180414e-05 4.766653000842779875e-04 2.989319364132825285e-05
2.687209099531173706e-02 1.627760648261755705e-04 1.192210824228823185e-03 3.488421862130053341e-05 1.185821020044386387e-03 6.399238918675109744e-05
3.099438175559043884e-02 2.692212583497166634e-04 1.317010959610342979e-03 1.205421503982506692e-04 1.247222302481532097e-03 1.192144991364330053e-04
4.040584713220596313e-02 3.482518077362328768e-04 1.719937892630696297e-03 1.222337596118450165e-04 1.675190636888146400e-03 1.333198015345260501e-04
4.540767148137092590e-02 4.881255736108869314e-04 2.344440668821334839e-03 2.581109874881803989e-04 2.202467061579227448e-03 2.248564123874530196e-04
5.411540344357490540e-02 6.029871292412281036e-04 5.024516955018043518e-03 2.782711235340684652e-04 4.838568624109029770e-03 3.085625066887587309e-04
7.183483988046646118e-02 8.442339021712541580e-04 5.197172984480857849e-03 2.786181576084345579e-04 5.009050015360116959e-03 4.678740224335342646e-04
