Time_Gyr,SnapshotNumber,VirialRadius_ckpc
,0,
,1,
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
,10,
,11,
,12,
,13,
,14,
,15,
,16,
,17,
,18,
,19,
,20,
,21,
,22,
,23,
,24,
,25,
,26,
,27,
,28,
,29,
,30,
,31,
0.4780873012769339,32,49.67503692762186
0.51144273747843,33,52.52584933530281
0.5471208106629557,34,54.652880354505164
0.5891997750159086,35,66.92762186115215
0.6303016906900535,36,73.7370753323486
0.6741780982620621,37,79.6602658788774
0.7211528104403899,38,91.00443131462333
0.7766504355647659,39,102.28951255539143
0.8307696690240871,40,105.87887740029542
0.8886787464488208,41,108.89217134416543
0.9569792349999162,42,110.36927621861152
1.0235859033603345,43,111.37370753323486
1.094853121042702,44,111.32939438700147
1.1789142813106497,45,121.93500738552436
1.260877564365467,46,130.54652880354504
1.3482981877900693,47,136.12998522895123
1.4517049514969056,48,142.21565731166913
1.5524152659289694,49,144.57902511078285
1.6600143869141089,50,150.94534711964548
1.7870610578518569,51,168.09453471196454
1.9103746631890275,52,177.07533234859673
2.0566279658005517,53,185.40620384047264
2.1979545826256524,54,189.0103397341211
2.3495344837482337,55,191.59527326440178
2.4942982026932317,56,192.99852289512555
2.648679024181495,57,199.77843426883308
2.7919964070004784,58,205.71639586410635
2.9444522970841254,59,219.26144756277694
3.103679461620113,60,226.01181683899554
3.2503461041698882,61,237.0457902511078
3.4035482502094134,62,244.519940915805
3.5395210614408477,63,247.99113737075328
3.706074245251531,64,253.5302806499261
3.852039404050016,65,257.6957163958641
4.005330648859183,66,263.41211225997046
4.1380238212264,67,267.2230428360413
4.302863700119068,68,268.38995568685374
4.444078540437953,69,269.6750369276218
4.618010469172704,70,270.87149187592314
4.767519355776625,71,273.78138847858196
4.9218213133602315,72,273.24963072378137
5.048501545881991,73,272.3338257016248
5.210902319443069,74,271.44756277695717
5.378187481427072,75,271.15214180206794
5.516742183317032,76,270.81240768094534
5.657151746908872,77,269.7636632200886
5.835657267816712,78,268.65583456425406
5.984925889355136,79,267.8877400295421
6.1314743443417274,80,267.10487444608566
6.288280009550495,81,266.3515509601181
6.441930961431011,82,266.45494830132935
6.60150134785066,83,267.1639586410635
6.767286363666197,84,267.85819793205314
6.891938257577819,85,267.66617429837515
7.058261067482293,86,267.44460856720826
7.230838364822614,87,266.95716395864105
7.363097920077097,88,266.9719350073855
7.541245459552444,89,266.46971935007383
7.6760992541526205,90,265.7607090103397
7.859537305692069,91,264.2983751846381
7.9965535098945315,92,263.11669128508123
8.184930564043999,93,261.890694239291
8.33063774295648,94,260.73855243722306
8.473061122257839,95,259.40915805022155
8.619165545014738,96,257.8729689807976
8.822454757224136,97,255.4357459379616
8.977680498782219,98,253.44165435745938
9.128933347146273,99,251.7282127031019
9.28399281865738,100,250.11816838995568
9.442976215473088,101,248.80354505169865
9.597321544370372,102,247.48892171344164
9.755404100736131,103,246.12998522895123
9.917333999546388,104,244.87444608567208
10.083224987834548,105,244.28360413589363
10.253194588767297,106,243.53028064992614
10.417575859721632,107,243.6189069423929
10.585809115748917,108,244.7415066469719
10.758003408639935,109,243.98818316100443
10.871586753389128,110,243.26440177252582
11.050552250154956,111,241.99409158050221
11.222886201331546,112,240.69423929098963
11.399102192939777,113,239.06942392909895
11.579305643595353,114,236.95716395864102
11.69400588091851,115,235.71639586410635
11.880922573432047,116,233.97341211225995
12.060042487650401,117,232.08271787296897
12.181593952274879,118,230.8124076809453
12.367202557614284,119,228.80354505169868
12.55684042003699,120,226.72082717872968
12.672601171018869,121,225.2437223042836
12.868907973792403,122,222.83604135893648
13.056016187829684,123,219.99999999999997
13.178327328662581,124,218.2127031019202
13.371812419226801,125,215.81979320531758
13.498307651451075,126,214.4165435745938
13.698436884332015,127,212.31905465288034
