# ConfigFile: 01
# Timestamp: 2026-03-26 10:10:52.490770-03:00
SnapshotNumber,Time_Gyr,MeanDelay_Gyr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1.6600143869141086,1.576655143433687
51,1.7870610578518569,1.6647450762009683
52,1.910374663189027,1.4967585139560078
53,2.0566279658005517,1.5534973142078292
54,2.1979545826256524,1.7319464699468516
55,2.3495344837482337,1.6320976508877831
56,2.4942982026932317,1.7115461771031042
57,2.648679024181495,2.0603458484501265
58,2.7919964070004784,2.094626073764503
59,2.9444522970841254,2.135565578821077
60,3.103679461620113,2.155846214479562
61,3.2503461041698882,1.6206094606888628
62,3.4035482502094134,1.9239674711847448
63,3.5395210614408477,2.1056538191496035
64,3.706074245251531,1.82254756617351
65,3.852039404050016,2.477166351638806
66,4.005330648859183,2.219533463033429
67,4.1380238212264,1.8983782851513662
68,4.302863700119068,2.666663242289167
69,4.444078540437954,3.1180479174231635
70,4.618010469172704,2.111716909764171
71,4.767519355776625,2.0297241104029746
72,4.921821313360232,2.4042470063802948
73,5.048501545881991,2.4046570064744905
74,5.210902319443069,2.2564549327389747
75,5.378187481427072,2.3159693078069545
76,5.516742183317032,2.435149677980005
77,5.657151746908872,2.495307714294583
78,5.835657267816712,2.463089212462232
79,5.984925889355137,2.5976939652295625
80,6.1314743443417274,2.5597815813081692
81,6.288280009550495,2.5446094198187756
82,6.441930961431011,2.539863134639265
83,6.60150134785066,2.673628185931492
84,6.767286363666197,2.5761018941266736
85,6.891938257577819,2.3875765676675824
86,7.058261067482293,2.343324776400874
87,7.230838364822614,2.608362544733636
88,7.363097920077097,3.0280733823291563
89,7.541245459552444,2.784165571173857
90,7.6760992541526205,2.807461607188499
91,7.859537305692069,2.8448772589257962
92,7.996553509894531,2.78201562199623
93,8.184930564043999,2.738668925452993
94,8.33063774295648,2.552641534124492
95,8.473061122257839,2.4766485526512225
96,8.619165545014738,2.673814663235966
97,8.822454757224136,2.773381054895512
98,8.977680498782219,3.1485838634185486
99,9.128933347146274,3.128931470642106
100,9.28399281865738,2.8274298421636246
101,9.442976215473088,2.5583656066391587
102,9.597321544370372,2.7316314093763165
103,9.755404100736131,2.523647923799664
104,9.91733399954639,2.8534844932129775
105,10.083224987834548,3.168842474501393
106,10.253194588767297,3.0450060333649627
107,10.417575859721632,2.847721598202189
108,10.585809115748921,2.743904967206916
109,10.758003408639935,2.70700676104239
110,10.87158675338913,2.711908803962519
111,11.050552250154956,2.5093135585792763
112,11.222886201331546,2.3094527714943767
113,11.399102192939777,2.2245136064811484
114,11.579305643595353,2.074658077874231
115,11.69400588091851,2.0044310034135044
116,11.880922573432047,1.817514310899968
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
