Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30.0,0.4217845366394565,10.919033198155363,0.08389942232519026,2.1396313115292647,1.7843029580006267,1.5684935208263826
31.0,0.4528384166734556,10.367443572408746,0.08797052684978504,2.2220721768259075,1.8342488251544204,1.6065764438714087
32.0,0.48617612343955924,9.841380439471834,0.09223917614394847,2.3054495152647467,1.8861863391983085,1.644126742666231
33.0,0.5182708119307342,9.388771271940549,0.09625777426642748,2.38879328276143,1.939020643969326,1.6809592420915043
34.0,0.5564188833159369,8.907999185598532,0.1009285508878038,2.4904419968276943,2.0004890827746693,1.7229657726152907
35.0,0.5973702376945801,8.449476294368743,0.10582597054568338,2.592201182715235,2.063451906306278,1.7669419140743063
36.0,0.6413297674084788,8.012172948865935,0.11096103078290759,2.7028455430196536,2.135259320889298,1.81485704607946
37.0,0.6885170787669509,7.5951071498715965,0.11634526278301709,2.8164287270218753,2.2119570130545383,1.8665625427542023
38.0,0.7339395587876801,7.23627606616736,0.1214140944240273,2.9244711441294173,2.2866114933625346,1.9163103416962708
39.0,0.787921774026992,6.855117262650799,0.12730554701643482,3.0500254918880865,2.3884678928913585,1.975384327645232
40.0,0.8458612530579325,6.491597745667503,0.1334828742744916,3.1882468197333274,2.492454645074624,2.038973764349455
41.0,0.9080449696290195,6.144901203416368,0.13995994787469493,3.3752229145818404,2.594217308287196,2.106478365194706
42.0,0.9678924784861273,5.846613747881867,0.14605760406878063,3.569170835324317,2.683326767990993,2.17152583909721
43.0,1.0390037466243902,5.5297658079491026,0.15314484920464314,4.132902683899554,2.9663308971158124,2.3252905854488746
44.0,1.115309430693374,5.227580973127337,0.1605759932010687,4.328243018021864,3.0729780418484065,2.4409758786203377
45.0,1.197181863756146,4.939380663491011,0.1683677232791182,4.56183275641181,3.1770767179913757,2.502508148133652
46.0,1.2850184010331818,4.664517702470927,0.1765375363843931,4.551207553219884,3.2179323609750483,2.472342762639874
47.0,1.3695201902147043,4.428033736605549,0.18422877390319162,4.766603012041423,3.3577295837941072,2.5463519720807812
48.0,1.469878490582777,4.176834914726472,0.19316822276007173,5.037381547142801,3.4956147056801465,2.632614893479054
49.0,1.577506484958674,3.9372610847275835,0.20254144612552438,5.339838950484543,3.6455944105975115,2.7418763102430552
50.0,1.6929110344480442,3.7087742646422353,0.21236949231329916,5.64402681878641,3.789445878992639,2.845424941563817
51.0,1.816629764214748,3.4908613692606485,0.22267443097773348,6.026532962616386,3.916390433817593,2.9225079885885337
52.0,1.949231863937383,3.2830330579565246,0.23347940267290615,6.308121341091541,4.0327589739073515,2.9992102757800962
53.0,2.0913186379114133,3.084822635834013,0.24480867081657914,6.5628857560655955,4.161593045009168,3.0736633965939206
