Time_Gyr,SnapshotNumber,VirialRadius_ckpc
,0,
,1,
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
,10,
,11,
,12,
,13,
,14,
,15,
,16,
,17,
,18,
,19,
,20,
,21,
,22,
,23,
,24,
,25,
,26,
,27,
,28,
,29,
,30,
,31,
0.4780873012769339,32,46.91285081240768
0.51144273747843,33,50.62038404726736
0.5471208106629557,34,56.75036927621861
0.5891997750159086,35,69.6602658788774
0.6303016906900535,36,74.10635155096011
0.6741780982620621,37,78.28655834564253
0.7211528104403899,38,81.5805022156573
0.7766504355647659,39,86.38109305760707
0.8307696690240871,40,92.36336779911373
0.8886787464488208,41,110.60561299852289
0.9569792349999162,42,120.53175775480058
1.0235859033603345,43,125.27326440177252
1.094853121042702,44,128.0354505169867
1.1789142813106497,45,131.72821270310192
1.260877564365467,46,133.66322008862628
1.3482981877900693,47,136.66174298375182
1.4517049514969056,48,141.15214180206794
1.5524152659289694,49,150.7828655834564
1.6600143869141089,50,156.92762186115212
1.7870610578518569,51,160.57607090103394
1.9103746631890275,52,162.74741506646973
2.0566279658005517,53,172.46676514032495
2.1979545826256524,54,198.1388478581979
2.3495344837482337,55,206.72082717872965
2.4942982026932317,56,213.0576070901034
2.648679024181495,57,216.86853766617426
2.7919964070004784,58,213.10192023633678
2.9444522970841254,59,210.56129985228952
3.103679461620113,60,209.42392909896603
3.2503461041698882,61,208.8626292466765
3.4035482502094134,62,210.23633677991137
3.5395210614408477,63,214.53471196454947
3.706074245251531,64,217.4593796159527
3.852039404050016,65,219.64549483013292
4.005330648859183,66,221.22599704579025
4.1380238212264,67,222.54062038404726
4.302863700119068,68,225.14032496307235
4.444078540437953,69,227.50369276218612
4.618010469172704,70,236.35155096011815
4.767519355776625,71,257.09010339734124
4.9218213133602315,72,267.1639586410635
5.048501545881991,73,271.01920236336775
5.210902319443069,74,274.32791728212703
5.378187481427072,75,276.218611521418
5.516742183317032,76,277.47415066469716
5.657151746908872,77,278.3751846381093
5.835657267816712,78,280.0738552437223
5.984925889355136,79,279.60118168389954
6.1314743443417274,80,280.85672082717866
6.288280009550495,81,286.60265878877397
6.441930961431011,82,286.95716395864105
6.60150134785066,83,286.42540620384045
6.767286363666197,84,285.77548005908415
6.891938257577819,85,285.1698670605613
7.058261067482293,86,285.77548005908415
7.230838364822614,87,286.8980797636632
7.363097920077097,88,286.8537666174298
7.541245459552444,89,285.8788774002954
7.6760992541526205,90,284.519940915805
7.859537305692069,91,281.90546528803543
7.9965535098945315,92,279.71935007385525
8.184930564043999,93,277.68094534711963
8.33063774295648,94,276.1595273264402
8.473061122257839,95,274.19497784342684
8.619165545014738,96,272.88035450516986
8.822454757224136,97,271.5361890694239
8.977680498782219,98,270.384047267356
9.128933347146273,99,268.9364844903988
9.28399281865738,100,267.0310192023633
9.442976215473088,101,265.67208271787297
9.597321544370372,102,264.711964549483
9.755404100736131,103,263.63367799113735
9.917333999546388,104,262.1565731166913
10.083224987834548,105,260.48744460856716
10.253194588767297,106,258.5672082717873
10.417575859721632,107,256.8685376661743
10.585809115748917,108,255.46528803545047
10.758003408639935,109,253.91432791728212
10.871586753389128,110,252.86558345642538
11.050552250154956,111,251.83161004431315
11.222886201331546,112,250.42836041358933
11.399102192939777,113,248.8921713441654
11.579305643595353,114,247.01624815361887
11.69400588091851,115,245.9527326440177
11.880922573432047,116,244.09158050221563
12.060042487650401,117,242.14180206794683
12.181593952274879,118,240.97488921713438
12.367202557614284,119,239.09896602658787
12.55684042003699,120,237.37075332348593
12.672601171018869,121,236.29246676514032
12.868907973792403,122,235.06646971935004
13.056016187829684,123,233.35302806499257
13.178327328662581,124,232.24519940915803
13.371812419226801,125,230.4874446085672
13.498307651451075,126,229.33530280649924
13.698436884332015,127,227.53323485967502
