Time_Gyr,SnapshotNumber,VirialRadius_ckpc,Mvir
,0,,
,1,,
,2,,
,3,,
,4,,
,5,,
,6,,
,7,,
,8,,
,9,,
,10,,
,11,,
,12,,
,13,,
,14,,
,15,,
,16,,
,17,,
,18,,
,19,,
,20,,
,21,,
,22,,
,23,,
,24,,
,25,,
,26,,
,27,,
,28,,
,29,,
,30,,
,31,,
0.4780873012769339,32,31.373707533234857,1036051698.6706055
0.51144273747843,33,32.998522895125554,1213225997.0457902
0.5471208106629557,34,34.59379615952733,1402615952.7326438
0.5891997750159086,35,36.02658788774003,1588050221.565731
0.6303016906900535,36,38.109305760709006,1881255539.143279
0.6741780982620621,37,39.556868537666176,2097311669.128508
0.7211528104403899,38,40.960118168389954,2333648449.0398817
0.7766504355647659,39,43.48596750369276,2799010339.734121
0.8307696690240871,40,46.8685376661743,3501595273.2644014
0.888678746448821,41,49.06942392909896,4020339734.1211224
0.9569792349999162,42,52.55539143279172,4951211225.9970455
1.0235859033603345,43,58.567208271787294,6861772525.849335
1.094853121042702,44,66.64697193500737,10118759231.905464
1.1789142813106497,45,77.79911373707533,16113589364.844902
1.260877564365467,46,80.2658788774003,17730132939.438698
1.3482981877900693,47,82.02363367799113,18952732644.017723
1.4517049514969056,48,80.51698670605612,17961447562.776955
1.5524152659289694,49,80.7533234859675,18162038404.726734
1.6600143869141086,50,82.33382570162482,19300000000.0
1.7870610578518569,51,86.85376661742983,22725110782.86558
1.910374663189027,52,121.38847858197933,62260856720.82717
2.0566279658005517,53,136.30723781388477,88496159527.32643
2.1979545826256524,54,146.1447562776957,109593353028.06499
2.3495344837482337,55,157.82865583456424,138693796159.5273
2.4942982026932317,56,163.38257016248153,154679468242.24518
2.648679024181495,57,168.6410635155096,171048744460.85672
2.7919964070004784,58,172.77695716395863,185032496307.2378
2.9444522970841254,59,174.03249630723778,190246676514.03247
3.103679461620113,60,174.8596750369276,194347119645.4948
3.2503461041698882,61,178.1831610044313,207023633677.99112
3.4035482502094134,62,215.64254062038404,369587887740.02954
3.5395210614408477,63,258.34564254062036,639878877400.2954
3.706074245251531,64,283.205317577548,850127031019.2023
3.852039404050016,65,287.48892171344164,896478581979.3204
4.005330648859183,66,290.8567208271787,936264401772.5258
4.1380238212264,67,292.76218611521415,962116691285.0812
4.302863700119068,68,293.6927621861152,980741506646.9719
4.444078540437954,69,290.48744460856716,957279172821.2703
4.618010469172704,70,282.5553914327917,890751846381.093
4.767519355776625,71,279.9852289512555,875332348596.7504
4.921821313360232,72,280.76809453471196,891896602658.7887
5.048501545881991,73,279.91137370753324,891577548005.9083
5.210902319443069,74,279.60118168389954,898875923190.5465
5.378187481427072,75,280.64992614475625,920270310192.0236
5.516742183317032,76,284.2392909896603,965865583456.4253
5.657151746908872,77,287.6957163958641,1012268833087.1492
5.835657267816712,78,296.410635155096,1122779911373.7075
5.984925889355137,79,297.9615952732644,1154107828655.8345
6.1314743443417274,80,301.07828655834567,1205454948301.3293
6.288280009550495,81,304.0324963072378,1257161004431.3145
6.441930961431011,82,312.23042836041355,1379958641063.5154
6.60150134785066,83,315.480059084195,1443384047267.356
6.767286363666197,84,317.9615952732644,1499335302806.4993
6.891938257577819,85,321.7725258493353,1571329394387.0015
7.058261067482293,86,339.36484490398817,1872319054652.8801
7.230838364822614,87,345.0664697193501,2000206794682.4224
7.363097920077097,88,346.73559822747416,2054741506646.9717
7.541245459552444,89,348.8035450516986,2127961595273.2642
7.6760992541526205,90,348.8626292466765,2157577548005.9082
7.859537305692069,91,347.97636632200886,2180856720827.1785
7.996553509894531,92,346.80945347119643,2189734121122.5996
8.184930564043999,93,344.83013293943867,2194682422451.994
8.33063774295648,94,343.3677991137371,2199704579025.111
8.473061122257839,95,340.3692762186115,2175952732644.0176
8.619165545014738,96,337.8877400295421,2162525849335.3027
8.822454757224136,97,333.0576070901034,2116646971935.0073
8.977680498782219,98,330.14771048744456,2096307237813.8845
9.128933347146274,99,327.5627769571639,2082806499261.4475
9.28399281865738,100,324.9778434268833,2070029542097.4888
9.442976215473088,101,322.23042836041355,2054401772525.849
9.597321544370372,102,319.86706056129987,2046824224519.9407
9.755404100736131,103,317.3116691285081,2035923190546.5286
9.91733399954639,104,314.5494830132939,2021624815361.8906
10.083224987834548,105,311.6248153618907,2004446085672.0825
10.253194588767297,106,309.03988183161005,1994416543574.5938
10.417575859721632,107,306.79468242245196,1991418020679.468
10.585809115748921,108,304.53471196454944,1988729689807.9763
10.758003408639935,109,302.05317577548004,1982038404726.7354
10.87158675338913,110,300.31019202363365,1976144756277.6956
11.050552250154956,111,297.66617429837515,1966927621861.152
11.222886201331546,112,295.55391432791725,1968670605612.9983
11.399102192939777,113,293.82570162481534,1978877400295.421
11.579305643595353,114,293.205317577548,2012363367799.1135
11.69400588091851,115,292.0974889217134,2020915805022.1565
11.880922573432047,116,290.5317577548006,2036484490398.818
12.060042487650401,117,288.8035450516987,2049290989660.2656
12.181593952274879,118,287.7548005908419,2060251107828.6558
12.367202557614286,119,286.2629246676514,2079409158050.2214
12.55684042003699,120,285.09601181683894,2106484490398.818
12.672601171018869,121,284.3722304283604,2126233382570.1624
12.868907973792403,122,283.60413589364845,2164327917282.127
13.056016187829684,123,281.71344165435744,2177710487444.6084
13.178327328662581,124,280.3692762186115,2184948301329.3943
13.371812419226801,125,278.3161004431314,2195273264401.7725
13.498307651451077,126,277.0901033973412,2205908419497.784
13.698436884332015,127,275.4357459379616,2226853766617.4297
