Time_Gyr,SnapshotNumber,VirialRadius_ckpc,VirialMass_Msun
,0,,
,1,,
,2,,
,3,,
,4,,
,5,,
,6,,
,7,,
,8,,
,9,,
,10,,
,11,,
,12,,
,13,,
,14,,
,15,,
,16,,
,17,,
,18,,
,19,,
,20,,
,21,,
,22,,
,23,,
,24,,
,25,,
,26,,
,27,,
,28,,
,29,,
,30,,
,31,,
0.4780873012769339,32,37.19350073855244,1745509601.1816838
0.51144273747843,33,45.18463810930576,3130694239.2909894
0.5471208106629557,34,48.40472673559823,3849955686.8537664
0.5891997750159086,35,50.62038404726736,4386026587.88774
0.6303016906900535,36,52.25997045790251,4845805022.156572
0.6741780982620621,37,53.19054652880354,5106809453.471196
0.7211528104403899,38,53.94387001477105,5335539143.279173
0.7766504355647659,39,56.041358936484485,5990413589.364844
0.8307696690240871,40,58.168389955686855,6703279172.82127
0.888678746448821,41,63.8847858197932,8889586410.635155
0.9569792349999162,42,74.10635155096011,13879217134.416542
1.0235859033603345,43,83.92909896602659,20185376661.74298
1.094853121042702,44,87.5480059084195,22935450516.986706
1.1789142813106497,45,90.13293943870015,25066322008.86263
1.260877564365467,46,90.2215657311669,25174446085.67208
1.3482981877900693,47,89.49778434268833,24610487444.608566
1.4517049514969056,48,94.34268833087148,28899704579.02511
1.5524152659289694,49,108.15361890694238,43645347119.64549
1.6600143869141086,50,118.67060561299851,57784490398.81831
1.7870610578518569,51,133.41211225997043,82372673559.82274
1.910374663189027,52,138.41949778434267,92289955686.85376
2.0566279658005517,53,143.6189069423929,103553028064.99261
2.1979545826256524,54,147.97636632200886,113760413589.36484
2.3495344837482337,55,154.85967503692763,131035450516.9867
2.4942982026932317,56,162.5701624815362,152370753323.48596
2.648679024181495,57,177.93205317577545,200926144756.27768
2.7919964070004784,58,182.76218611521418,218977843426.8833
2.9444522970841254,59,186.1447562776957,232838995568.68536
3.103679461620113,60,189.77843426883305,248416543574.59378
3.2503461041698882,61,189.37961595273265,248530280649.92612
3.4035482502094134,62,188.7149187592319,247698670605.61298
3.5395210614408477,63,188.21270310192023,247416543574.59378
3.706074245251531,64,188.9807976366322,252604135893.64844
3.852039404050016,65,191.2407680945347,263868537666.1743
4.005330648859183,66,193.58936484490397,276090103397.3412
4.1380238212264,67,195.52437223042836,286620384047.26733
4.302863700119068,68,197.6514032496307,298957163958.64105
4.444078540437954,69,200.59084194977845,315203840472.6735
4.618010469172704,70,211.47710487444604,373508124076.80945
4.767519355776625,71,224.13589364844904,449079763663.22003
4.921821313360232,72,229.64549483013292,504518463810.93054
5.048501545881991,73,238.92171344165433,554466765140.325
5.210902319443069,74,257.533234859675,702500738552.4371
5.378187481427072,75,321.7282127031019,1386426883308.7148
5.516742183317032,76,340.23633677991137,1656632200886.2627
5.657151746908872,77,344.31314623338255,1735347119645.4946
5.835657267816712,78,348.493353028065,1824697193500.7385
5.984925889355137,79,344.4460856720827,1782895125553.9143
6.1314743443417274,80,344.8153618906942,1810605612998.5227
6.288280009550495,81,343.8700147710487,1818906942392.9097
6.441930961431011,82,344.2245199409158,1849187592319.0544
6.60150134785066,83,342.73264401772525,1850753323485.9673
6.767286363666197,84,333.48596750369273,1729734121122.5996
6.891938257577819,85,332.629246676514,1735908419497.7842
7.058261067482293,86,331.93500738552433,1751994091580.5022
7.230838364822614,87,328.34564254062036,1723397341211.2258
7.363097920077097,88,325.40620384047264,1698508124076.8093
7.541245459552444,89,323.01329394387,1690088626292.4666
7.6760992541526205,90,321.5805022156573,1689970457902.511
7.859537305692069,91,319.6602658788774,1690502215657.3115
7.996553509894531,92,318.0354505169867,1688774002954.2097
8.184930564043999,93,315.71639586410635,1684505169867.0605
8.33063774295648,94,313.55982274741507,1675199409158.05
8.473061122257839,95,311.4918759231905,1667887740029.542
8.619165545014738,96,310.0,1670014771048.7444
8.822454757224136,97,308.19793205317575,1677208271787.2969
8.977680498782219,98,306.64697193500734,1679911373707.5332
9.128933347146274,99,305.02215657311666,1681757754800.5908
9.28399281865738,100,303.44165435745936,1685140324963.0723
9.442976215473088,101,302.34859675036927,1697163958641.0635
9.597321544370372,102,300.9158050221566,1704180206794.6824
9.755404100736131,103,299.6454948301329,1714534711964.5493
9.91733399954639,104,298.4342688330871,1726484490398.818
10.083224987834548,105,297.2082717872969,1738995568685.3765
10.253194588767297,106,296.02658788774,1752909896602.6587
10.417575859721632,107,294.72673559822744,1765568685376.6616
10.585809115748921,108,293.3530280649926,1777710487444.6084
10.758003408639935,109,291.93500738552433,1789409158050.2214
10.87158675338913,110,290.9158050221565,1796410635155.096
11.050552250154956,111,289.1728212703102,1803382570162.4814
11.222886201331546,112,287.41506646971936,1810502215657.3115
11.399102192939777,113,285.6573116691285,1818419497784.3425
11.579305643595353,114,283.79615952732644,1824711964549.483
11.69400588091851,115,282.629246676514,1830679468242.245
11.880922573432047,116,280.79763663220086,1838434268833.087
12.060042487650401,117,278.9364844903988,1846070901033.9734
12.181593952274879,118,277.5775480059084,1849187592319.0544
12.367202557614286,119,275.58345642540615,1855081240768.0945
12.55684042003699,120,273.51550960118163,1859926144756.2776
12.672601171018869,121,272.08271787296894,1862422451994.0916
12.868907973792403,122,270.2363367799113,1872511078286.558
13.056016187829684,123,268.16838995568685,1878345642540.6204
13.178327328662581,124,266.82422451994086,1883264401772.5256
13.371812419226801,125,264.68242245199406,1888064992614.4756
13.498307651451077,126,263.13146233382565,1889039881831.6099
13.698436884332015,127,260.8714918759232,1891964549483.0132
