Time_Gyr,SnapshotNumber,VirialRadius_ckpc,Mvir,d_MW_M31_kpc
,0,,,
,1,,,
,2,,,
,3,,,
,4,,,
,5,,,
,6,,,
,7,,,
,8,,,
,9,,,
,10,,,
,11,,,
,12,,,
,13,,,
,14,,,
,15,,,
,16,,,
,17,,,
,18,,,
,19,,,
,20,,,
,21,,,
,22,,,
,23,,,
,24,,,
,25,,,
,26,,,
,27,,,
,28,,,
,29,,,
,30,,,
,31,,,
0.4780873012769339,32,53.39734121122599,5167548005.90842,336.02751099713174
0.51144273747843,33,56.8685376661743,6238581979.320531,348.9579252855145
0.5471208106629557,34,61.78729689807976,8008064992.614475,362.11403269809057
0.5891997750159086,35,65.71639586410635,9638064992.614475,376.7995503840787
0.6303016906900535,36,68.22747415066469,10793205317.577547,391.059333879947
0.6741780982620621,37,72.14180206794683,12763367799.113737,405.9752275985822
0.7211528104403899,38,77.68094534711965,15941211225.997046,421.0459534315496
0.7766504355647659,39,81.25553914327917,18261152141.802067,437.06703029726526
0.8307696690240871,40,85.08124076809453,20973264401.772526,452.5498787142356
0.888678746448821,41,94.00295420974889,28318906942.392906,468.88805000334054
0.9569792349999162,42,99.14327917282127,33237518463.81093,488.04499599570045
1.0235859033603345,43,114.69719350073855,51515361890.69424,504.5690205194619
1.094853121042702,44,134.66765140324964,83497045790.2511,527.7000934553647
1.1789142813106497,45,141.9202363367799,97871491875.92319,550.4636719695038
1.260877564365467,46,147.25258493353027,109489955686.85376,565.6333733514875
1.3482981877900693,47,148.21270310192023,111835007385.52437,584.2592788064047
1.4517049514969056,48,149.76366322008863,115616248153.6189,603.3105055418704
1.5524152659289694,49,151.41802067946824,119759970457.9025,618.9973030480178
1.6600143869141086,50,157.06056129985228,133971048744.46085,637.1202940592442
1.7870610578518569,51,162.40768094534712,148612998522.8951,657.9181050356971
1.910374663189027,52,165.81979320531758,158692762186.1152,676.1852234806547
2.0566279658005517,53,169.5716395864106,170456425406.20383,692.9586518112853
2.1979545826256524,54,171.81683899556867,178053175775.48004,705.4497728590751
2.3495344837482337,55,174.60856720827178,187853766617.4298,716.8804227482138
2.4942982026932317,56,182.31905465288034,214929098966.02658,726.4553443664853
2.648679024181495,57,191.8168389955687,251726735598.22745,732.204626667537
2.7919964070004784,58,201.81683899556867,294880354505.16986,732.9789033135786
2.9444522970841254,59,207.00147710487443,320169867060.5613,706.170729664517
3.103679461620113,60,214.10635155096008,356763663220.0886,717.4958028932539
3.2503461041698882,61,216.5288035450517,371475627769.5716,711.7964199365607
3.4035482502094134,62,218.5967503692762,385039881831.61005,711.3113274871994
3.5395210614408477,63,220.91580502215655,400141802067.9468,710.0446851955116
3.706074245251531,64,222.58493353028064,412729689807.9763,702.3505498983462
3.852039404050016,65,223.42688330871488,420785819793.20526,707.3436693597109
