Time_Gyr,SnapshotNumber,VirialRadius_ckpc,VirialMass_Msun
,0,,
,1,,
,2,,
,3,,
,4,,
,5,,
,6,,
,7,,
,8,,
,9,,
,10,,
,11,,
,12,,
,13,,
,14,,
,15,,
,16,,
,17,,
,18,,
,19,,
,20,,
,21,,
,22,,
,23,,
,24,,
,25,,
,26,,
,27,,
,28,,
,29,,
,30,,
,31,,
0.4780873012769339,32,24.431314623338253,490846381.0930576
0.51144273747843,33,26.144756277695713,601747415.0664697
0.5471208106629557,34,27.902511078286558,735432791.7282126
0.5891997750159086,35,31.181683899556866,1024140324.9630723
0.6303016906900535,36,33.057607090103396,1221320531.7577548
0.6741780982620621,37,35.036927621861146,1461760709.0103397
0.7211528104403899,38,37.25258493353028,1755790251.1078286
0.7766504355647659,39,40.64992614475627,2286425406.2038403
0.8307696690240871,40,43.8847858197932,2876011816.8389955
0.888678746448821,41,51.019202363367796,4522171344.165436
0.9569792349999162,42,55.76070901033973,5911550960.118168
1.0235859033603345,43,58.28655834564254,6760280649.926145
1.094853121042702,44,60.147710487444606,7437991137.370753
1.1789142813106497,45,62.422451994091574,8322821270.310191
1.260877564365467,46,70.56129985228951,12046218611.521418
1.3482981877900693,47,79.35007385524372,17163367799.113735
1.4517049514969056,48,88.67060561299851,23987444608.567207
1.5524152659289694,49,93.66322008862628,28328951255.539143
1.6600143869141086,50,96.72082717872969,31283013293.943867
1.7870610578518569,51,98.95125553914326,33616395864.10635
1.910374663189027,52,101.41802067946823,36300147710.48744
2.0566279658005517,53,122.88035450516986,64857754800.590836
2.1979545826256524,54,140.8271787296898,98037666174.29837
2.3495344837482337,55,144.25406203840473,105899852289.51254
2.4942982026932317,56,149.37961595273262,118206203840.47267
2.648679024181495,57,156.45494830132938,136619645494.83012
2.7919964070004784,58,181.8463810930576,215694239290.98965
2.9444522970841254,59,201.37370753323486,294757754800.5908
3.103679461620113,60,207.17872968980794,323196454948.30133
3.2503461041698882,61,211.86115214180205,347924667651.4032
3.4035482502094134,62,220.2215657311669,393692762186.1152
3.5395210614408477,63,249.79320531757756,578451994091.5804
3.706074245251531,64,263.26440177252584,682958641063.5155
3.852039404050016,65,268.75923190546524,732342688330.8715
4.005330648859183,66,271.4623338257016,761224519940.9158
4.1380238212264,67,273.0871491875923,780905465288.0354
4.302863700119068,68,272.6587887740029,784807976366.3219
4.444078540437954,69,269.3205317577548,762853766617.4298
4.618010469172704,70,266.26292466765136,745400295420.9749
4.767519355776625,71,263.78138847858196,732011816838.9955
4.921821313360232,72,262.1565731166913,726001477104.8744
5.048501545881991,73,260.6351550960118,719763663220.0886
5.210902319443069,74,259.92614475627767,722192023633.678
5.378187481427072,75,260.0147710487444,731776957163.9586
5.516742183317032,76,259.94091580502214,738728212703.1019
5.657151746908872,77,259.71935007385525,744825701624.8153
5.835657267816712,78,259.3057607090103,751747415066.4697
5.984925889355137,79,258.8626292466765,756719350073.8552
6.1314743443417274,80,258.84785819793206,765942392909.8966
6.288280009550495,81,259.4682422451994,781385524372.2303
6.441930961431011,82,259.94091580502214,796299852289.5125
6.60150134785066,83,260.0295420974889,808208271787.2969
6.767286363666197,84,260.31019202363365,822704579025.1107
6.891938257577819,85,260.5169867060561,833945347119.6454
7.058261067482293,86,261.84638109305763,860081240768.0945
7.230838364822614,87,262.76218611521415,883104874446.0856
7.363097920077097,88,263.3234859675037,899986706056.1299
7.541245459552444,89,264.4165435745938,927020679468.2422
7.6760992541526205,90,264.47562776957164,940073855243.7223
7.859537305692069,91,263.7075332348597,949192023633.678
7.996553509894531,92,263.17577548005903,956862629246.6764
8.184930564043999,93,262.06794682422446,963420974889.217
8.33063774295648,94,260.2954209748892,958339734121.1226
8.473061122257839,95,259.23190546528804,961285081240.7681
8.619165545014738,96,258.4047267355982,967271787296.8981
8.822454757224136,97,257.370753323486,976660265878.8773
8.977680498782219,98,256.3663220088626,981583456425.4061
9.128933347146274,99,255.16986706056127,984697193500.7385
9.28399281865738,100,253.8552437223043,986592319054.6528
9.442976215473088,101,252.58493353028064,989586410635.155
9.597321544370372,102,251.16691285081237,990912850812.4076
9.755404100736131,103,249.91137370753322,994618906942.3928
9.91733399954639,104,248.64106351550961,998428360413.5894
10.083224987834548,105,249.70457902511077,1031276218611.5214
10.253194588767297,106,249.09896602658785,1044465288035.4504
10.417575859721632,107,248.2570162481536,1055186115214.1802
10.585809115748921,108,247.11964549483014,1062543574593.7961
10.758003408639935,109,246.3367799113737,1075045790251.1078
10.87158675338913,110,245.48005908419495,1079304283604.1359
11.050552250154956,111,244.34268833087145,1087961595273.2643
11.222886201331546,112,242.96898079763662,1093747415066.4696
11.399102192939777,113,242.0679468242245,1106454948301.3293
11.579305643595353,114,241.24076809453467,1120809453471.1963
11.69400588091851,115,241.49187592319055,1142072378138.848
11.880922573432047,116,242.1861152141802,1179592319054.6528
12.060042487650401,117,241.56573116691283,1199178729689.8079
12.181593952274879,118,240.87149187592317,1208292466765.1401
12.367202557614286,119,239.26144756277694,1213989660265.879
12.55684042003699,120,237.66617429837518,1220203840472.6736
12.672601171018869,121,236.38109305760707,1221209748892.1711
12.868907973792403,122,234.38700147710486,1221633677991.1372
13.056016187829684,123,232.34859675036927,1221760709010.3396
13.178327328662581,124,231.0044313146233,1222135893648.449
13.371812419226801,125,229.37961595273262,1228942392909.8965
13.498307651451077,126,228.21270310192023,1232351550960.1182
13.698436884332015,127,226.18906942392908,1233230428360.4136
