Redshift,Time_Gyr,SnapshotNumber,VirialRadius_ckpc,Mvir,d_MW_M31_kpc
,,0,,,
,,1,,,
,,2,,,
,,3,,,
,,4,,,
,,5,,,
,,6,,,
,,7,,,
,,8,,,
,,9,,,
,,10,,,
,,11,,,
,,12,,,
,,13,,,
,,14,,,
,,15,,,
,,16,,,
,,17,,,
,,18,,,
,,19,,,
,,20,,,
,,21,,,
,,22,,,
,,23,,,
,,24,,,
,,25,,,
,,26,,,
,,27,,,
,,28,,,
,,29,,,
,,30,,,
,,31,,,
9.843,0.4780873012769339,32,68.5672082717873,10941462333.8257,263.47015194139556
9.366,0.51144273747843,33,72.12703101920236,12743087149.187592,273.7840415717354
8.91,0.5471208106629557,34,75.25849335302806,14473116691.28508,283.9445364010276
8.432,0.5891997750159086,35,81.74298375184638,18555982274.741505,294.78989040300127
8.017,0.6303016906900535,36,86.95716395864105,22346233382.57016,304.19659271496556
7.621,0.6741780982620621,37,93.205317577548,27528212703.101917,313.79610745786243
7.242,0.7211528104403899,38,97.78434268833087,31802215657.31167,324.21871017306967
6.844,0.7766504355647659,39,102.20088626292466,36330576070.90103,336.0395409397313
6.499,0.8307696690240871,40,105.89364844903987,40446381093.0576,346.25578500429776
6.169,0.888678746448821,41,107.72525849335302,42619497784.34268,356.7878367669712
5.823,0.9569792349999162,42,109.14327917282127,44361742983.75185,368.0139276376861
5.523,1.0235859033603345,43,112.1861152141802,48222008862.62924,378.77654336703586
5.236,1.094853121042702,44,115.12555391432791,52159675036.92762,387.8528710854226
4.935,1.1789142813106497,45,119.92614475627768,59062629246.67651,398.45888194489487
4.674,1.260877564365467,46,123.76661742983752,65016248153.618904,411.488950373184
4.425,1.3482981877900693,47,135.79025110782865,86006203840.47267,423.79984094968603
4.163,1.4517049514969056,48,151.8759231905465,120584194977.84341,439.0161522652289
3.936,1.5524152659289694,49,158.7149187592319,137895273264.40176,452.7230434605018
3.719,1.6600143869141086,50,163.26440177252584,150483013293.94385,463.4706475000054
3.491,1.7870610578518569,51,164.711964549483,155042836041.35892,478.6176452001447
3.294,1.910374663189027,52,165.49483013293943,157772525849.3353,494.7044997488719
3.086,2.0566279658005517,53,175.9970457902511,190537666174.29837,516.2249996008388
2.907,2.1979545826256524,54,193.47119645494828,254234859675.0369,527.3255371202788
2.735,2.3495344837482337,55,201.698670605613,289536189069.4239,540.4614802783761
2.587,2.4942982026932317,56,206.07090103397337,310345642540.62036,549.6667487292772
2.444,2.648679024181495,57,211.22599704579022,336140324963.0723,560.7879046964262
2.323,2.7919964070004784,58,211.9202363367799,341376661742.9837,568.9353696417302
2.205,2.9444522970841254,59,213.94387001477105,353478581979.3205,579.6633164396168
2.092,3.103679461620113,60,215.15509601181682,362053175775.48004,592.8254185768166
1.996,3.2503461041698882,61,215.33234859675036,365332348596.75037,606.2677012186294
