Time_Gyr,SnapshotNumber,VirialRadius_ckpc,Mvir,d_MW_M31_kpc
,0,,,
,1,,,
,2,,,
,3,,,
,4,,,
,5,,,
,6,,,
,7,,,
,8,,,
,9,,,
,10,,,
,11,,,
,12,,,
,13,,,
,14,,,
,15,,,
,16,,,
,17,,,
,18,,,
,19,,,
,20,,,
,21,,,
,22,,,
,23,,,
,24,,,
,25,,,
,26,,,
,27,,,
,28,,,
,29,,,
,30,,,
,31,,,
0.4780873012769339,32,68.67060561299851,10989556868.537666,263.86607844611405
0.51144273747843,33,71.92023633677991,12629025110.782866,273.5048072037428
0.5471208106629557,34,75.00738552437222,14335007385.524372,283.8701184990079
0.5891997750159086,35,81.63958641063516,18481979320.531757,294.99813825410865
0.6303016906900535,36,86.76514032496307,22192023633.67799,304.20243653403537
0.6741780982620621,37,93.10192023633678,27433382570.16248,314.16548904336963
0.7211528104403899,38,97.97636632200886,31986262924.66765,324.50557379403006
0.7766504355647659,39,102.42245199409157,36559527326.44018,336.16309455802326
0.8307696690240871,40,106.2924667651403,40911964549.48301,346.7777527571028
0.888678746448821,41,107.97636632200884,42915509601.18168,356.87935813732906
0.9569792349999162,42,109.58641063515509,44904726735.59822,368.4290730277149
1.0235859033603345,43,112.46676514032495,48576957163.95864,378.72398159866805
1.094853121042702,44,114.80059084194977,51736484490.39881,387.70402862228667
1.1789142813106497,45,119.29098966026588,58118906942.39291,398.3656097066841
1.260877564365467,46,122.88035450516986,63619202363.3678,411.96166921712756
1.3482981877900693,47,135.1698670605613,84818316100.44313,424.2407065664095
1.4517049514969056,48,150.75332348596748,117918316100.44313,439.56697007057613
1.5524152659289694,49,157.71048744460856,135293796159.52731,453.82676944591475
1.6600143869141086,50,161.9202363367799,146806942392.90988,463.84024595341225
1.7870610578518569,51,163.13146233382568,150612998522.8951,477.9164835028247
1.910374663189027,52,163.48596750369276,152076809453.4712,494.77333306423236
2.0566279658005517,53,173.67799113737073,183115214180.2068,523.1898744352487
2.1979545826256524,54,190.98966026587888,244604135893.64844,527.6868638336845
2.3495344837482337,55,199.77843426883308,281317577548.00586,542.002195197496
2.4942982026932317,56,204.1506646971935,301762186115.2142,549.2898171545561
2.648679024181495,57,209.39438700147707,327478581979.3205,558.467725095905
2.7919964070004784,58,210.20679468242244,333217134416.5436,567.5585803248266
2.9444522970841254,59,212.23042836041358,345050221565.73114,578.5548358269444
3.103679461620113,60,212.99852289512552,351240768094.53467,591.8553005625213
3.2503461041698882,61,213.66322008862628,356908419497.7843,605.4151007521383
3.4035482502094134,62,214.01772525849333,361310192023.63367,623.1263035080578
3.5395210614408477,63,213.72230428360413,362243722304.28357,645.5433419631438
3.706074245251531,64,214.20974889217135,367872968980.7976,667.2652656121428
3.852039404050016,65,215.59822747415066,378115214180.2068,678.8900401058123
