Time_Gyr,SnapshotNumber,VirialRadius_ckpc,VirialMass_Msun
,0,,
,1,,
,2,,
,3,,
,4,,
,5,,
,6,,
,7,,
,8,,
,9,,
,10,,
,11,,
,12,,
,13,,
,14,,
,15,,
,16,,
,17,,
,18,,
,19,,
,20,,
,21,,
,22,,
,23,,
,24,,
,25,,
,26,,
,27,,
,28,,
,29,,
,30,,
,31,,
0.4780873012769339,32,49.67503692762186,2816880000.0
0.51144273747843,33,52.52584933530281,3329710000.0
0.5471208106629557,34,54.652880354505164,3754890000.0
0.5891997750159086,35,66.92762186115215,6897370000.0
0.6303016906900535,36,73.7370753323486,9226920000.0
0.6741780982620621,37,79.6602658788774,11637600000.0
0.7211528104403899,38,91.00443131462333,17362300000.0
0.7766504355647659,39,102.28951255539143,24663900000.0
0.8307696690240871,40,105.87887740029542,27374200000.0
0.888678746448821,41,108.89217134416543,29796300000.0
0.9569792349999162,42,110.36927621861152,31058100000.0
1.0235859033603345,43,111.37370753323486,31939000000.0
1.094853121042702,44,111.32939438700147,31938000000.0
1.1789142813106497,45,121.93500738552436,42016100000.0
1.260877564365467,46,130.54652880354504,51641500000.0
1.3482981877900693,47,136.12998522895123,58660700000.0
1.4517049514969056,48,142.21565731166913,67018900000.0
1.5524152659289694,49,144.57902511078285,70575200000.0
1.6600143869141086,50,150.94534711964548,80525900000.0
1.7870610578518569,51,168.09453471196454,111568000000.0
1.910374663189027,52,177.07533234859673,130827000000.0
2.0566279658005517,53,185.40620384047264,150835000000.0
2.1979545826256524,54,189.0103397341211,160505000000.0
2.3495344837482337,55,191.59527326440178,168001000000.0
2.4942982026932317,56,192.99852289512555,172624000000.0
2.648679024181495,57,199.77843426883308,192553000000.0
2.7919964070004784,58,205.71639586410635,211416000000.0
2.9444522970841254,59,219.26144756277694,257579000000.0
3.103679461620113,60,226.01181683899554,284093000000.0
3.2503461041698882,61,237.0457902511078,329977000000.0
3.4035482502094134,62,244.519940915805,364858000000.0
3.5395210614408477,63,247.99113737075328,383161000000.0
3.706074245251531,64,253.5302806499261,412943000000.0
3.852039404050016,65,257.6957163958641,437116000000.0
4.005330648859183,66,263.41211225997046,470801000000.0
4.1380238212264,67,267.2230428360413,495292000000.0
4.302863700119068,68,268.38995568685374,506715000000.0
4.444078540437954,69,269.6750369276218,518537000000.0
4.618010469172704,70,270.87149187592314,531302000000.0
4.767519355776625,71,273.78138847858196,554069000000.0
4.921821313360232,72,273.24963072378137,556582000000.0
5.048501545881991,73,272.3338257016248,555895000000.0
5.210902319443069,74,271.44756277695717,556911000000.0
5.378187481427072,75,271.15214180206794,561912000000.0
5.516742183317032,76,270.81240768094534,565532000000.0
5.657151746908872,77,269.7636632200886,565027000000.0
5.835657267816712,78,268.65583456425406,566015000000.0
5.984925889355137,79,267.8877400295421,567800000000.0
6.1314743443417274,80,267.10487444608566,569795000000.0
6.288280009550495,81,266.3515509601181,572235000000.0
6.441930961431011,82,266.45494830132935,580630000000.0
6.60150134785066,83,267.1639586410635,593510000000.0
6.767286363666197,84,267.85819793205314,606863000000.0
6.891938257577819,85,267.66617429837515,612352000000.0
7.058261067482293,86,267.44460856720826,620381000000.0
7.230838364822614,87,266.95716395864105,627037000000.0
7.363097920077097,88,266.9719350073855,634999000000.0
7.541245459552444,89,266.46971935007383,642380000000.0
7.6760992541526205,90,265.7607090103397,645763000000.0
7.859537305692069,91,264.2983751846381,646951000000.0
7.996553509894531,92,263.11669128508123,647369000000.0
8.184930564043999,93,261.890694239291,650901000000.0
8.33063774295648,94,260.73855243722306,652103000000.0
8.473061122257839,95,259.40915805022155,652132000000.0
8.619165545014738,96,257.8729689807976,650806000000.0
8.822454757224136,97,255.4357459379616,646421000000.0
8.977680498782219,98,253.44165435745938,642031000000.0
9.128933347146274,99,251.7282127031019,639956000000.0
9.28399281865738,100,250.11816838995568,638920000000.0
9.442976215473088,101,248.80354505169865,640274000000.0
9.597321544370372,102,247.48892171344164,641856000000.0
9.755404100736131,103,246.12998522895123,643231000000.0
9.91733399954639,104,244.87444608567208,645680000000.0
10.083224987834548,105,244.28360413589363,653661000000.0
10.253194588767297,106,243.53028064992614,660794000000.0
10.417575859721632,107,243.6189069423929,675089000000.0
10.585809115748921,108,244.7415066469719,698861000000.0
10.758003408639935,109,243.98818316100443,707309000000.0
10.87158675338913,110,243.26440177252582,711166000000.0
11.050552250154956,111,241.99409158050221,715552000000.0
11.222886201331546,112,240.69423929098963,719925000000.0
11.399102192939777,113,239.06942392909895,721613000000.0
11.579305643595353,114,236.95716395864102,719101000000.0
11.69400588091851,115,235.71639586410635,718923000000.0
11.880922573432047,116,233.97341211225995,720020000000.0
12.060042487650401,117,232.08271787296897,719982000000.0
12.181593952274879,118,230.8124076809453,719746000000.0
12.367202557614286,119,228.80354505169868,718736000000.0
12.55684042003699,120,226.72082717872968,717220000000.0
12.672601171018869,121,225.2437223042836,715256000000.0
12.868907973792403,122,222.83604135893648,710771000000.0
13.056016187829684,123,219.99999999999997,702070000000.0
13.178327328662581,124,218.2127031019202,697386000000.0
13.371812419226801,125,215.81979320531758,693014000000.0
13.498307651451077,126,214.4165435745938,692018000000.0
13.698436884332015,127,212.31905465288034,690607000000.0
