# ConfigFile: 01
# Timestamp: 2026-03-26 10:09:12.394913-03:00
SnapshotNumber,Time_Gyr,MeanDelay_Gyr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1.6600143869141086,1.4549050741225806
51,1.7870610578518569,1.6174491334401055
52,1.910374663189027,1.5290831596347942
53,2.0566279658005517,1.5273310279969405
54,2.1979545826256524,1.5267238384823683
55,2.3495344837482337,1.5185886570840215
56,2.4942982026932317,1.6314344570822539
57,2.648679024181495,1.98908618140114
58,2.7919964070004784,1.6894378750260433
59,2.9444522970841254,1.4663064363618536
60,3.103679461620113,1.4986754689649933
61,3.2503461041698882,1.210667334420603
62,3.4035482502094134,1.7829958361127043
63,3.5395210614408477,1.7933584619034888
64,3.706074245251531,1.90297776875294
65,3.852039404050016,2.5561249499884715
66,4.005330648859183,2.7218676746160453
67,4.1380238212264,2.230847763741406
68,4.302863700119068,2.315611677111781
69,4.444078540437954,2.314361926159941
70,4.618010469172704,2.2857360450405912
71,4.767519355776625,2.2084646554235734
72,4.921821313360232,2.0471052379480916
73,5.048501545881991,2.0978520943380627
74,5.210902319443069,2.202298198591584
75,5.378187481427072,2.327675279641921
76,5.516742183317032,2.0965409151102947
77,5.657151746908872,2.0672651894114447
78,5.835657267816712,2.2493259126689105
79,5.984925889355137,3.206921093953471
80,6.1314743443417274,3.4383500519971784
81,6.288280009550495,3.07504172850847
82,6.441930961431011,3.3621637336785475
83,6.60150134785066,3.508445107053206
84,6.767286363666197,3.7118963527371345
85,6.891938257577819,4.171806590491593
86,7.058261067482293,4.040808072679647
87,7.230838364822614,3.532895232416233
88,7.363097920077097,2.7742779915415032
89,7.541245459552444,3.2272098325352454
90,7.6760992541526205,3.4850903853887782
91,7.859537305692069,3.5572177569869736
92,7.996553509894531,3.573194439874974
93,8.184930564043999,3.438142373502535
94,8.33063774295648,2.5409193187447934
95,8.473061122257839,3.195176859696737
96,8.619165545014738,2.987267491695303
97,8.822454757224136,3.1789816870066363
98,8.977680498782219,3.4802726861395086
99,9.128933347146274,3.1885142361347056
100,9.28399281865738,3.1427796067075655
101,9.442976215473088,3.160489396032811
102,9.597321544370372,3.1686441596382586
103,9.755404100736131,3.01550327347196
104,9.91733399954639,2.810590455298023
105,10.083224987834548,2.701887563379696
106,10.253194588767297,2.8304987857962898
107,10.417575859721632,2.8007850661262803
108,10.585809115748921,2.6383350083904977
109,10.758003408639935,2.518105595647184
110,10.87158675338913,2.3876747046131412
111,11.050552250154956,2.2525076303294664
112,11.222886201331546,2.184698763088643
113,11.399102192939777,1.5790037424215915
114,11.579305643595353,1.412167946979335
115,11.69400588091851,1.7111485498228576
116,11.880922573432047,1.6392726314738695
117,12.060042487650401,1.566650038329727
118,12.181593952274879,1.508141661062313
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
