SnapshotNumbers,Times_Gyr,Delta
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1.658424075455636,5.009551939162554
51,1.7852109411306938,5.13538436244274
52,1.9087251005943775,5.38718320252518
53,2.0542946412802117,5.620989392464862
54,2.1960331217841973,5.849952163227002
55,2.3473074604764466,6.072033026695934
56,2.492093805618768,6.268207135963931
57,2.645527836580647,6.453668909787982
58,2.789547102003453,6.597481477148867
59,2.9410991694788162,6.748289399651645
60,3.1005271216365293,6.898713207391171
61,3.24676259845616,7.0241347172036965
62,3.399534921540906,7.141778796350552
63,3.5358684189171163,7.251730754040782
64,3.701422795540636,7.387081630483328
65,3.8490727526664066,7.532760280961491
66,4.002189339946645,7.778881368869004
67,4.134073017989484,7.900680587135069
68,4.297609020790753,8.018161640830076
69,4.438387551251412,8.110744911545295
70,4.612848329419118,8.224760892759733
71,4.762936382575863,8.323835702973875
72,4.917388364118559,8.420233322617186
73,5.04414557229201,8.495142847772156
74,5.206651492909871,8.598368777299848
75,5.373737289661653,8.710101508898312
76,5.510751380834336,8.791861676191347
77,5.65077692188168,8.87456158471912
78,5.830093858735267,9.025197102223506
79,5.9770131818759085,9.264698016850907
80,6.127044501216197,9.411326234755435
81,6.280214482862782,9.513954553174724
82,6.436547553740773,9.598216826169766
83,6.596065774621037,9.701424889894513
84,6.758788717127001,9.821400009680206
85,6.882944328993475,9.90765699957371
86,7.051314723485368,10.014063935315201
87,7.222929885887396,10.128353263314645
88,7.353776306456494,10.246390836771296
89,7.531090252205096,10.45861156359661
90,7.666216917034915,10.691226104480071
91,7.849241734747805,10.858968128301292
92,7.988651455432529,10.992230939025012
93,8.177382403083039,11.34795515482032
94,8.321065170061159,11.62176377083699
95,8.46657293854438,11.792912803279235
96,8.613900426061454,11.955894483906603
97,8.813156671342265,12.171165796584244
98,8.96470378407691,12.338835463903557
99,9.118045505078774,12.478987328241656
100,9.27317206867788,12.620918626552763
101,9.43007269490069,12.781525048679011
102,9.58873560276994,12.955197625786795
103,9.749148026266017,13.146543055164681
104,9.911296232903506,13.324089831640405
105,10.075165544860939,13.551188305865564
106,10.240740362585964,13.802971066725354
107,10.408004190783336,14.106676317384958
108,10.576939666678843,14.621012238408053
109,10.747528590438506,15.055898040458493
110,10.862163768931895,15.37509562213914
111,11.035465825156916,15.921537284338925
112,11.210368956667406,16.742733556821154
113,11.386852185757396,18.169037428623405
114,11.564893863921924,19.020475145745326
115,11.684443143597386,19.376354794026227
116,11.865032433823059,19.854030980702753
117,12.047119470537792,20.306528891293286
118,12.169331196658252,20.574658861844902
119,12.353861440878127,20.894672910719997
120,12.539825033771278,21.1694382404842
121,12.664584768785309,21.32459380613289
122,12.852881684242274,21.533734468531016
123,13.042544673427637,21.749739172419424
124,13.169732865216234,21.895518764684212
125,13.361615184557813,22.156003958156994
126,13.49025876910861,22.299310923294623
127,13.684287694692006,22.563210271709586
