# TotalGas TotalStar DiscGas DiscColdGas SFGas DiscStar
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
1.978493964998051524e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.078696707030758262e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.036449451930820942e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.041379058733582497e-03 4.136786628805566579e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.799543504603207111e-03 4.023739165859296918e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.419983571395277977e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.397456206381320953e-03 6.984365427342709154e-06 6.705788109684363008e-06 0.000000000000000000e+00 6.705788109684363008e-06 0.000000000000000000e+00
5.585300736129283905e-03 1.848866668296977878e-05 2.818599750753492117e-05 0.000000000000000000e+00 2.818599750753492117e-05 0.000000000000000000e+00
7.762758992612361908e-03 3.629370985436253250e-05 7.825699867680668831e-05 0.000000000000000000e+00 7.825699867680668831e-05 0.000000000000000000e+00
1.574290171265602112e-02 1.032882573781535029e-04 2.490781189408153296e-04 0.000000000000000000e+00 2.490781189408153296e-04 1.511349728389177471e-05
2.045391127467155457e-02 1.651987549848854542e-04 2.547906769905239344e-04 0.000000000000000000e+00 2.547906769905239344e-04 5.698806035070447251e-06
2.727853879332542419e-02 2.055186050711199641e-04 2.565440081525593996e-04 0.000000000000000000e+00 2.565440081525593996e-04 2.681942532944958657e-05
3.266859799623489380e-02 2.841181994881480932e-04 4.484884848352521658e-04 0.000000000000000000e+00 4.484884848352521658e-04 3.705691779032349586e-05
4.093762487173080444e-02 3.627728146966546774e-04 5.668835365213453770e-04 4.813756731891771778e-06 5.668835365213453770e-04 4.679059202317148447e-05
4.737470299005508423e-02 5.714306607842445374e-04 8.569468045607209206e-04 0.000000000000000000e+00 8.569468045607209206e-04 8.083802094915881753e-05
5.508619174361228943e-02 8.056185324676334858e-04 1.406510709784924984e-03 0.000000000000000000e+00 1.406510709784924984e-03 1.568593434058129787e-04
6.246143206954002380e-02 1.143145607784390450e-03 2.043190412223339081e-03 2.033720920735504478e-05 2.043190412223339081e-03 2.016743674175813794e-04
7.381235063076019287e-02 1.540516503155231476e-03 1.858909614384174347e-03 0.000000000000000000e+00 1.858909614384174347e-03 2.674556453712284565e-04
5.834103375673294067e-02 3.666625707410275936e-04 1.244368962943553925e-03 1.051149301929399371e-04 1.196406432427465916e-03 8.160919242072850466e-05
5.548790097236633301e-02 1.370038604363799095e-03 4.056121222674846649e-03 3.237209512008121237e-06 4.052883945405483246e-03 5.591250373981893063e-04
1.431764960289001465e-01 1.836054958403110504e-03 5.119385663419961929e-03 1.568222432979382575e-05 5.110801663249731064e-03 8.648016955703496933e-04
2.022239416837692261e-01 2.721317112445831299e-03 6.616470403969287872e-03 7.434560393448919058e-05 6.594318896532058716e-03 1.099977176636457443e-03
2.439001500606536865e-01 4.779704380780458450e-03 1.326677575707435608e-02 3.909230508725158870e-05 1.325175166130065918e-02 1.734563731588423252e-03
2.737245261669158936e-01 7.437040098011493683e-03 1.294026896357536316e-02 2.349143032915890217e-04 1.279466506093740463e-02 1.201879931613802910e-03
3.089987635612487793e-01 1.087702810764312744e-02 1.896571367979049683e-02 1.816141593735665083e-04 1.886121556162834167e-02 2.827150747179985046e-03
