SnapshotNumbers,Times_Gyr,Delta
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1.658424075455636,2.852989178497283
51,1.7852109411306938,3.056482237262953
52,1.9087251005943775,3.351115456511214
53,2.0542946412802117,3.9602852927751266
54,2.1960331217841973,4.366568390960707
55,2.3473074604764466,4.916117809582227
56,2.492093805618768,5.615312086935009
57,2.645527836580647,6.231693901201481
58,2.789547102003453,6.6573149444913415
59,2.9410991694788162,7.084345152988244
60,3.1005271216365293,7.384852424921255
61,3.24676259845616,7.682238094435249
62,3.399534921540906,8.00256032841109
63,3.5358684189171163,8.264166601018466
64,3.701422795540636,8.772630925904714
65,3.8490727526664066,9.031101750095795
66,4.002189339946645,9.193529590831965
67,4.134073017989484,9.346839619036754
68,4.297609020790753,9.434305230499271
69,4.438387551251412,9.601161110494582
70,4.612848329419118,9.770638797071621
71,4.762936382575863,9.852206906983024
72,4.917388364118559,9.914351315936031
73,5.04414557229201,9.997178071664692
74,5.206651492909871,10.123141808596504
75,5.373737289661653,10.209767727320752
76,5.510751380834336,10.270098757275163
77,5.65077692188168,10.345324507142202
78,5.830093858735267,10.451816305447666
79,5.9770131818759085,10.46851993790817
80,6.127044501216197,10.5605002377741
81,6.280214482862782,10.698823537181097
82,6.436547553740773,10.784776808424589
83,6.596065774621037,10.859060137186448
84,6.758788717127001,10.887925914999627
85,6.882944328993475,10.94151796408436
86,7.051314723485368,11.00555436156891
87,7.222929885887396,11.069426393666394
88,7.353776306456494,11.114588463633003
89,7.531090252205096,11.16864949004496
90,7.666216917034915,11.208623330837252
91,7.849241734747805,11.27261417052429
92,7.988651455432529,11.320315864379097
93,8.177382403083039,11.397329087830474
94,8.321065170061159,11.44950973848279
95,8.46657293854438,11.499385700555614
96,8.613900426061454,11.559548791962364
97,8.813156671342265,11.652626945419078
98,8.96470378407691,11.726861143222846
99,9.118045505078774,11.807242963818913
100,9.27317206867788,11.904982305263154
101,9.43007269490069,12.042894691202491
102,9.58873560276994,12.187927492904308
103,9.749148026266017,12.395472739099736
104,9.911296232903506,12.57586196482351
105,10.075165544860939,12.73227885615989
106,10.240740362585964,12.925207195678421
107,10.408004190783336,13.177269556354254
108,10.576939666678843,13.463473466452006
109,10.747528590438506,13.793222591350123
110,10.862163768931895,14.027220838671425
111,11.035465825156916,14.48763151338492
112,11.210368956667406,15.405823016618866
113,11.386852185757396,17.12973186066622
114,11.564893863921924,17.951276516305803
115,11.684443143597386,18.332116477876795
116,11.865032433823059,18.77181175407919
117,12.047119470537792,19.09364632827406
118,12.169331196658252,19.319520101707557
119,12.353861440878127,19.621888097016964
120,12.539825033771278,19.86710160213502
121,12.664584768785309,20.002259974550874
122,12.852881684242274,20.333749228655527
123,13.042544673427637,20.628218752484333
124,13.169732865216234,20.95264565468607
125,13.361615184557813,21.42073683808428
126,13.49025876910861,21.636505713373847
127,13.684287694692006,21.907394163899667
