Snapshot,Time_Gyr,Redshift,ExpansionFactor,SubhaloGasMassUnder10000K_Msun,SubhaloGasMassUnder20000K_Msun,SubhaloGasMassUnder50000K_Msun,SubhaloGasMassUnder100000K_Msun,Suite,Simulation,Galaxy
46,1.2850184010331818,4.664517702470927,0.1765375363843931,485484160.0,2985975808.0,3637028608.0,4184735232.0,Au,1,
47,1.3695201902147045,4.428033736605549,0.1842287739031916,879495936.0,3762244096.0,4451236864.0,5084451840.0,Au,1,
48,1.469878490582777,4.176834914726472,0.1931682227600717,1088452480.0,4453858304.0,5372252672.0,5969480192.0,Au,1,
49,1.577506484958674,3.937261084727584,0.2025414461255243,378746144.0,4082082048.0,5825452032.0,6646640640.0,Au,1,
50,1.6929110344480442,3.7087742646422353,0.2123694923132991,461423424.0,4237292800.0,5803179008.0,6960070656.0,Au,1,
51,1.816629764214748,3.4908613692606485,0.2226744309777334,428195104.0,4256334080.0,6164998656.0,7394259968.0,Au,1,
52,1.949231863937383,3.283033057956525,0.2334794026729061,263132656.0,3627044096.0,5736050688.0,7142736384.0,Au,1,
53,2.0913186379114133,3.084822635834013,0.2448086708165791,214120256.0,3265016576.0,5688169984.0,7058416128.0,Au,1,
54,2.243523728229641,2.8957850057274284,0.2566876761756205,590542208.0,3569336320.0,5748332032.0,7017780224.0,Au,1,
55,2.38970908764874,2.7331426173187188,0.2678708269437177,301861312.0,2811465216.0,5585935872.0,6966551552.0,Au,1,
56,2.545136331266385,2.577290271601893,0.2795411957308694,787812288.0,4146989568.0,6851200000.0,8090384896.0,Au,1,
57,2.691478124041424,2.4442257045541464,0.2903410187891416,658362560.0,3751091200.0,6549609472.0,8123448832.0,Au,1,
58,2.845920886458248,2.316110743956892,0.3015580833126119,498175200.0,3823990784.0,7061837824.0,8596954112.0,Au,1,
59,2.988012615874371,2.207925472383703,0.3117279402557108,817089664.0,4599696384.0,7597085696.0,9315007488.0,Au,1,
60,3.1368772698499368,2.1032696525957717,0.3222407692362591,537219584.0,4173502464.0,7383640576.0,9183933440.0,Au,1,
61,3.29278934427696,2.002028139252852,0.3331081367707903,511181376.0,4301803520.0,7260029440.0,9140323328.0,Au,1,
62,3.456027342112737,1.9040895435327672,0.344341999449342,1063592576.0,6176858624.0,9639152640.0,11831672832.0,Au,1,
63,3.6019897617620327,1.822689252620354,0.3542720825792927,918206336.0,6971721728.0,11124384768.0,13724996608.0,Au,1,
64,3.7537195774394343,1.7435705743308647,0.3644885279628326,564659968.0,7355082752.0,12853562368.0,15744936960.0,Au,1,
65,3.911395417791096,1.666669556114465,0.3749995936718436,1979470336.0,11116027904.0,17194473472.0,20186894336.0,Au,1,
66,4.047462659359281,1.6042345220731056,0.3839899945738943,1335082624.0,12372842496.0,19175462912.0,22283718656.0,Au,1,
67,4.216501575170758,1.5312390291576137,0.395063440663206,3108700672.0,14436068352.0,21970524160.0,26702282752.0,Au,1,
68,4.362284942489244,1.4719748452657977,0.4045348608280338,2168271104.0,12965685248.0,19045902336.0,22924476416.0,Au,1,
69,4.51264561130662,1.4140982203725216,0.4142333528772864,1060588544.0,13122843648.0,19570857984.0,23050776576.0,Au,1,
70,4.667681813768118,1.3575766674029972,0.4241643607295944,546056832.0,10869689344.0,18051704832.0,21683128320.0,Au,1,
71,4.827489579195381,1.3023784599059651,0.4343334588184266,691155072.0,10874435584.0,17000932352.0,20856309760.0,Au,1,
72,4.992162284945694,1.2484726142451428,0.4447463552211064,1159801216.0,13046483968.0,20501516288.0,24553324544.0,Au,1,
73,5.127463975584815,1.2062580807810006,0.4532561302374954,873035072.0,10645243904.0,18921984000.0,23976028160.0,Au,1,
74,5.301118608921481,1.1546027123602154,0.4641226868709222,530061312.0,7496431104.0,17653608448.0,23151050752.0,Au,1,
75,5.443716379840261,1.1141505637653806,0.4730032085410998,1003786688.0,10519701504.0,17874714624.0,23001933824.0,Au,1,
76,5.589624137566063,1.074457894547674,0.4820536500780824,775415424.0,9708607488.0,18322780160.0,23613644800.0,Au,1,
