Time_Gyr,SnapshotNumber,VirialRadius_ckpc
,0,
,1,
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
,10,
,11,
,12,
,13,
,14,
,15,
,16,
,17,
,18,
,19,
,20,
,21,
,22,
,23,
,24,
,25,
,26,
,27,
,28,
,29,
,30,
,31,
0.4780873012769339,32,49.68980797636632
0.51144273747843,33,56.82422451994091
0.5471208106629557,34,61.99409158050221
0.5891997750159086,35,66.91285081240767
0.6303016906900535,36,71.80206794682422
0.6741780982620621,37,76.38109305760709
0.7211528104403899,38,80.04431314623338
0.7766504355647659,39,82.85081240768095
0.8307696690240871,40,92.21565731166912
0.8886787464488208,41,99.30576070901034
0.9569792349999162,42,104.81536189069422
1.0235859033603345,43,110.28064992614475
1.094853121042702,44,114.5642540620384
1.1789142813106497,45,122.14180206794681
1.260877564365467,46,126.77991137370752
1.3482981877900693,47,129.5420974889217
1.4517049514969056,48,132.39290989660265
1.5524152659289694,49,142.34859675036927
1.6600143869141089,50,155.8788774002954
1.7870610578518569,51,167.10487444608566
1.9103746631890275,52,194.54948301329395
2.0566279658005517,53,210.97488921713443
2.1979545826256524,54,224.84490398818315
2.3495344837482337,55,232.20088626292463
2.4942982026932317,56,242.27474150664696
2.648679024181495,57,254.4165435745938
2.7919964070004784,58,262.1565731166913
2.9444522970841254,59,268.1831610044313
3.103679461620113,60,277.13441654357456
3.2503461041698882,61,279.1580502215657
3.4035482502094134,62,280.3545051698671
3.5395210614408477,63,285.7902511078286
3.706074245251531,64,286.3663220088626
3.852039404050016,65,290.6056129985229
4.005330648859183,66,290.6056129985229
4.1380238212264,67,292.23042836041355
4.302863700119068,68,293.205317577548
4.444078540437953,69,293.7370753323486
4.618010469172704,70,292.30428360413583
4.767519355776625,71,293.26440177252584
4.9218213133602315,72,317.0310192023633
5.048501545881991,73,324.7858197932053
5.210902319443069,74,331.4327917282127
5.378187481427072,75,343.1314623338257
5.516742183317032,76,347.8729689807976
5.657151746908872,77,351.66912850812406
5.835657267816712,78,353.7223042836041
5.984925889355136,79,354.13589364844904
6.1314743443417274,80,354.68242245199406
6.288280009550495,81,353.9290989660266
6.441930961431011,82,352.71787296898077
6.60150134785066,83,350.2067946824224
6.767286363666197,84,346.6617429837518
6.891938257577819,85,344.53471196454944
7.058261067482293,86,343.10192023633675
7.230838364822614,87,341.0930576070901
7.363097920077097,88,339.76366322008863
7.541245459552444,89,337.85819793205314
7.6760992541526205,90,336.6912850812407
7.859537305692069,91,337.5775480059084
7.9965535098945315,92,339.4534711964549
8.184930564043999,93,339.807976366322
8.33063774295648,94,338.9660265878877
8.473061122257839,95,338.1388478581979
8.619165545014738,96,337.2378138847858
8.822454757224136,97,336.6617429837518
8.977680498782219,98,334.7415066469719
9.128933347146273,99,332.73264401772525
9.28399281865738,100,330.45790251107826
9.442976215473088,101,326.8980797636632
9.597321544370372,102,322.7769571639586
9.755404100736131,103,320.1477104874446
9.917333999546388,104,318.1388478581979
10.083224987834548,105,316.21861152141804
10.253194588767297,106,315.03692762186114
10.417575859721632,107,313.97341211225995
10.585809115748917,108,312.1270310192023
10.758003408639935,109,310.26587887740027
10.871586753389128,110,308.58197932053173
11.050552250154956,111,306.7355982274741
11.222886201331546,112,305.25849335302803
11.399102192939777,113,304.8892171344165
11.579305643595353,114,307.8729689807976
11.69400588091851,115,308.19793205317575
11.880922573432047,116,308.34564254062036
12.060042487650401,117,307.31166912850813
12.181593952274879,118,306.39586410635155
12.367202557614284,119,304.8892171344165
12.55684042003699,120,303.0576070901034
12.672601171018869,121,301.7725258493353
12.868907973792403,122,299.0546528803545
13.056016187829684,123,294.5790251107829
13.178327328662581,124,293.14623338257013
13.371812419226801,125,290.9010339734121
13.498307651451075,126,289.5125553914328
13.698436884332015,127,287.5775480059084
