# ConfigFile: 01
# Timestamp: 2026-03-26 10:10:13.976066-03:00
SnapshotNumber,Time_Gyr,MeanDelay_Gyr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1.6600143869141086,1.769647603822067
51,1.7870610578518569,1.7707004024084303
52,1.910374663189027,1.740097615292455
53,2.0566279658005517,1.7058478229767864
54,2.1979545826256524,1.657213133311016
55,2.3495344837482337,1.6137456132432024
56,2.4942982026932317,1.8744892118641494
57,2.648679024181495,1.9685445619533666
58,2.7919964070004784,2.201695582768419
59,2.9444522970841254,2.2330366300491153
60,3.103679461620113,2.7563095101985646
61,3.2503461041698882,3.180924895487177
62,3.4035482502094134,3.030247135642197
63,3.5395210614408477,3.1444237529272434
64,3.706074245251531,3.6230335564975555
65,3.852039404050016,3.1595337319403485
66,4.005330648859183,3.0907471593101246
67,4.1380238212264,3.0572507656913843
68,4.302863700119068,2.7081477467759627
69,4.444078540437954,2.5024514222331375
70,4.618010469172704,2.907566826469758
71,4.767519355776625,2.902348268718726
72,4.921821313360232,2.731923056745855
73,5.048501545881991,3.4360857238335263
74,5.210902319443069,3.6556613693484605
75,5.378187481427072,3.455473925595871
76,5.516742183317032,4.117660566550856
77,5.657151746908872,3.5712820015289752
78,5.835657267816712,3.4178682576403054
79,5.984925889355137,3.5781826996158372
80,6.1314743443417274,3.483736457547961
81,6.288280009550495,3.691585171878023
82,6.441930961431011,3.854442674652169
83,6.60150134785066,4.029112209844804
84,6.767286363666197,3.620031462540311
85,6.891938257577819,3.6504402485529743
86,7.058261067482293,3.4611275905362544
87,7.230838364822614,3.600334489884404
88,7.363097920077097,3.580791233271239
89,7.541245459552444,3.629511560031107
90,7.6760992541526205,3.59919531706441
91,7.859537305692069,3.3530023880008017
92,7.996553509894531,3.2319447970607507
93,8.184930564043999,3.330805650611237
94,8.33063774295648,3.3810599166525
95,8.473061122257839,3.2150883137012642
96,8.619165545014738,3.1745425724733938
97,8.822454757224136,3.031718310324517
98,8.977680498782219,3.075675870365554
99,9.128933347146274,3.010398232507634
100,9.28399281865738,2.933085618064186
101,9.442976215473088,3.0117079584527455
102,9.597321544370372,3.027945265465506
103,9.755404100736131,2.9826832454022583
104,9.91733399954639,2.9231067517226568
105,10.083224987834548,2.858913100758748
106,10.253194588767297,2.6927030126995124
107,10.417575859721632,2.564798104318786
108,10.585809115748921,2.4318972064341895
109,10.758003408639935,2.3463397178797925
110,10.87158675338913,2.3027300288937504
111,11.050552250154956,2.167866007081081
112,11.222886201331546,2.0626399402288857
113,11.399102192939777,2.0081378603436035
114,11.579305643595353,1.9528983578533188
115,11.69400588091851,1.5846345526837642
116,11.880922573432047,1.3972356132211687
117,12.060042487650401,1.2808659995296914
118,12.181593952274879,1.490825618258238
119,12.367202557614286,1.3207012091976789
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
