# TotalGas TotalStar DiscGas DiscColdGas SFGas DiscStar
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
2.966685860883444548e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.580618554726243019e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.810852311085909605e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.379300469532608986e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.896927810274064541e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.215068326331675053e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.138249179348349571e-03 8.426580279774498194e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.610323553904891014e-03 7.775473932269960642e-06 6.805911652918439358e-06 0.000000000000000000e+00 6.805911652918439358e-06 0.000000000000000000e+00
1.704142196103930473e-03 1.273171801585704088e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.252195023786043748e-06
2.342114225029945374e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.941086422652006149e-03 1.560477357998024672e-05 1.813788367144297808e-05 1.813788367144297808e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.690311521291732788e-03 0.000000000000000000e+00 2.391067937423940748e-05 2.391067937423940748e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.056247442960739136e-03 1.051477011060342193e-05 2.808781755447853357e-05 2.176760608563199639e-05 1.327401150774676353e-05 0.000000000000000000e+00
6.457048468291759491e-03 1.511563641543034464e-05 5.852545291418209672e-05 3.320673204143531621e-05 5.852545291418209672e-05 4.733683908852981403e-06
8.898043073713779449e-03 8.864505616656970233e-06 1.178864986286498606e-04 5.121159847476519644e-05 8.823713142191991210e-05 0.000000000000000000e+00
1.073292642831802368e-02 4.030180571135133505e-05 2.012713521253317595e-04 5.254222924122586846e-05 1.847312378231436014e-04 5.114502073411131278e-06
1.379828806966543198e-02 5.497966049006208777e-05 4.679702396970242262e-04 5.372660962166264653e-05 4.589701129589229822e-04 3.557977470336481929e-05
2.673701196908950806e-02 7.881571946199983358e-05 5.545034073293209076e-04 1.182464766316115856e-04 5.317379836924374104e-04 1.890587009256705642e-05
3.087826818227767944e-02 1.687144831521436572e-04 1.092917751520872116e-03 6.188225233927369118e-05 1.071977661922574043e-03 5.165456605027429760e-05
3.686129674315452576e-02 3.730154130607843399e-04 2.355767879635095596e-03 7.368308433797210455e-05 2.314808778464794159e-03 9.128895180765539408e-05
5.167897045612335205e-02 5.855776253156363964e-04 2.310550305992364883e-03 6.615222810069099069e-05 2.297211438417434692e-03 2.310201234649866819e-04
6.263539195060729980e-02 7.355075795203447342e-04 3.067669924348592758e-03 6.981912156334146857e-05 3.028083126991987228e-03 2.694588620215654373e-04
7.597812265157699585e-02 9.545487118884921074e-04 2.309166360646486282e-03 4.405245999805629253e-04 2.055070362985134125e-03 3.995232691522687674e-04
7.613281905651092529e-02 4.874068836215883493e-04 1.639799913391470909e-03 7.046535029076039791e-04 1.183611340820789337e-03 9.326028521172702312e-05
1.060892716050148010e-01 7.411711267195641994e-04 4.906126763671636581e-03 6.653085583820939064e-04 4.385136067867279053e-03 3.771557530853897333e-04
