# TotalGas TotalStar DiscGas DiscColdGas SFGas DiscStar
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
3.752739867195487022e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.674763910472393036e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.701971869915723801e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.948563291691243649e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.935236160643398762e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.079277368262410164e-03 7.248886049637803808e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.638155430555343628e-03 6.815349479438737035e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.815349479438737035e-06
2.526606433093547821e-03 6.581019988516345620e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.126992680132389069e-03 1.290872933168429881e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.258425975218415260e-03 6.842957191111054271e-06 4.698082648246781901e-06 4.698082648246781901e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.011206328868865967e-03 1.097853237297385931e-05 1.379615241603460163e-05 1.379615241603460163e-05 1.379615241603460163e-05 0.000000000000000000e+00
6.898624822497367859e-03 1.770686685631517321e-05 1.672056168899871409e-05 0.000000000000000000e+00 1.672056168899871409e-05 5.645095370709896088e-06
1.003950275480747223e-02 2.802723429340403527e-05 2.294712430739309639e-05 0.000000000000000000e+00 2.294712430739309639e-05 5.457455245050368831e-06
1.615874283015727997e-02 5.670663085766136646e-05 9.430425416212528944e-05 0.000000000000000000e+00 9.430425416212528944e-05 0.000000000000000000e+00
2.179772965610027313e-02 1.015918969642370939e-04 1.491923467256128788e-04 0.000000000000000000e+00 1.491923467256128788e-04 0.000000000000000000e+00
2.433245256543159485e-02 1.291745866183191538e-04 1.946183183463290334e-04 0.000000000000000000e+00 1.946183183463290334e-04 6.957165169296786189e-06
4.330359771847724915e-02 2.476914960425347090e-04 2.862035471480339766e-04 1.257573694601887837e-05 2.862035471480339766e-04 3.251814632676541805e-05
4.882895201444625854e-02 2.919875551015138626e-04 3.283777332399040461e-04 7.153331353038083762e-06 3.212243900634348392e-04 4.814152998733334243e-05
5.732029676437377930e-02 7.434933213517069817e-04 5.338161718100309372e-04 2.006991780945099890e-05 5.338161718100309372e-04 9.264741674996912479e-05
7.831536978483200073e-02 1.425738795660436153e-03 1.576418289914727211e-03 4.450883352546952665e-05 1.563735306262969971e-03 1.551399327581748366e-04
4.255279898643493652e-02 2.258865570183843374e-04 5.905631114728748798e-04 1.085669500753283501e-04 5.325571983121335506e-04 4.727853956865146756e-05
6.009993702173233032e-02 3.503485932014882565e-04 9.021017467603087425e-04 1.291901862714439631e-04 8.504575816914439201e-04 9.456963744014501572e-05
9.295447915792465210e-02 7.760765729472041130e-04 1.494002179242670536e-03 6.767514423700049520e-05 1.451491843909025192e-03 8.587180491304025054e-05
1.152124032378196716e-01 1.230101799592375755e-03 1.939203008078038692e-03 6.238147034309804440e-05 1.921007758937776089e-03 1.773679105099290609e-04
1.509156227111816406e-01 5.225785076618194580e-03 4.090538248419761658e-03 1.926342883962206542e-05 4.083937034010887146e-03 6.941662286408245564e-04
