Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30.0,0.4217845366394565,10.919033198155363,0.08389942232519026,2.2679109561792394,2.04072914397997,1.860940667769307
31.0,0.4528384166734556,10.367443572408746,0.08797052684978504,2.370728797824027,2.126377555094127,1.9168879585270024
32.0,0.48617612343955924,9.841380439471834,0.09223917614394847,2.4777880937941714,2.2121067113506423,1.974617718843852
33.0,0.5182708119307342,9.388771271940549,0.09625777426642748,2.1567893810284944,1.7892801765158304,1.522219519219959
34.0,0.5564188833159369,8.907999185598532,0.1009285508878038,2.231097880768085,1.8335590937527433,1.5627770341940033
35.0,0.5973702376945801,8.449476294368743,0.10582597054568338,2.899705547814145,2.3195537126666927,2.0080727675133767
36.0,0.6413297674084788,8.012172948865935,0.11096103078290759,3.032034199411775,2.392852514012771,2.08600824466274
37.0,0.6885170787669509,7.5951071498715965,0.11634526278301709,3.097062480624483,2.587430519180633,2.250426169991462
38.0,0.7339395587876801,7.23627606616736,0.1214140944240273,3.257325278973069,2.6951623270012868,2.321210718390957
39.0,0.787921774026992,6.855117262650799,0.12730554701643482,2.6627891632725538,2.061599165044745,1.7209142728702573
40.0,0.8458612530579325,6.491597745667503,0.1334828742744916,3.6241448145416206,2.9393378359983604,2.4889541621652533
41.0,0.9080449696290195,6.144901203416368,0.13995994787469493,3.829051696098608,3.0874751925933084,2.591070433287422
42.0,0.9678924784861273,5.846613747881867,0.14605760406878063,4.36251660780294,3.39972505238884,2.749276606611477
43.0,1.0390037466243902,5.5297658079491026,0.15314484920464314,4.289550555389739,3.4114390939571684,2.8125586132924556
44.0,1.115309430693374,5.227580973127337,0.1605759932010687,4.629983720784583,3.6299654288101006,2.922003238919068
45.0,1.197181863756146,4.939380663491011,0.1683677232791182,4.9572160890766135,3.8374176873071515,3.0604654187562788
46.0,1.2850184010331818,4.664517702470927,0.1765375363843931,5.3036248821749705,4.124824025604194,3.216035420112763
47.0,1.3695201902147043,4.428033736605549,0.18422877390319162,5.715436897066726,4.325043997662216,3.339309770298973
48.0,1.469878490582777,4.176834914726472,0.19316822276007173,6.117122978941157,4.586577513759919,3.503427205334093
49.0,1.577506484958674,3.9372610847275835,0.20254144612552438,6.467174999982875,4.821751738161999,3.6541120996695935
50.0,1.6929110344480442,3.7087742646422353,0.21236949231329916,6.702191893774179,4.651390680182494,3.412400390859289
51.0,1.816629764214748,3.4908613692606485,0.22267443097773348,7.344755341004652,4.842326160054625,3.5750331863991596
52.0,1.949231863937383,3.2830330579565246,0.23347940267290615,7.799105252844401,5.0465558079690505,3.735494309208989
53.0,2.0913186379114133,3.084822635834013,0.24480867081657914,9.128220230882453,6.051724503922836,4.456386253611016
