# ConfigFile: 01
# Timestamp: 2026-03-26 10:05:55.666285-03:00
SnapshotNumber,Time_Gyr,MeanDelay_Gyr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1.6600143869141086,2.2584659203127146
51,1.7870610578518569,2.1387201993093092
52,1.910374663189027,2.0997371296295215
53,2.0566279658005517,2.080662498085025
54,2.1979545826256524,1.994835895544176
55,2.3495344837482337,2.085032626522844
56,2.4942982026932317,1.8541066735394343
57,2.648679024181495,1.7778524746913669
58,2.7919964070004784,1.9510243969127452
59,2.9444522970841254,2.273442976299147
60,3.103679461620113,1.945746123706679
61,3.2503461041698882,1.843067965912501
62,3.4035482502094134,1.8458867058456143
63,3.5395210614408477,1.852289588279492
64,3.706074245251531,1.793157609426499
65,3.852039404050016,1.8530447541023667
66,4.005330648859183,1.9191076802838023
67,4.1380238212264,1.992491837503257
68,4.302863700119068,1.9986163431549318
69,4.444078540437954,2.016565727207434
70,4.618010469172704,2.140255571572057
71,4.767519355776625,2.191978873913257
72,4.921821313360232,2.1292272017882095
73,5.048501545881991,2.3517991391304296
74,5.210902319443069,2.472275920617134
75,5.378187481427072,2.8075291905717537
76,5.516742183317032,2.902701109731101
77,5.657151746908872,3.012170752980132
78,5.835657267816712,2.9947972901654025
79,5.984925889355137,3.256982304051655
80,6.1314743443417274,4.860874716154447
81,6.288280009550495,3.2202401048773694
82,6.441930961431011,3.738114230002739
83,6.60150134785066,3.7931481426795775
84,6.767286363666197,3.4918396248036183
85,6.891938257577819,2.7603911606589686
86,7.058261067482293,2.830813586143717
87,7.230838364822614,3.1767139320677673
88,7.363097920077097,3.6168033973131353
89,7.541245459552444,4.034762121307444
90,7.6760992541526205,3.822365355868005
91,7.859537305692069,2.997605769643154
92,7.996553509894531,3.0317781643555084
93,8.184930564043999,3.352549343571765
94,8.33063774295648,3.623587084233784
95,8.473061122257839,3.5682551583625606
96,8.619165545014738,3.4863883413965784
97,8.822454757224136,3.5399320265911225
98,8.977680498782219,3.538898725916045
99,9.128933347146274,3.385193864165008
100,9.28399281865738,3.257856377606519
101,9.442976215473088,3.162168878804934
102,9.597321544370372,3.0509790387319167
103,9.755404100736131,2.0769893729403917
104,9.91733399954639,2.859852981081321
105,10.083224987834548,2.782062463184261
106,10.253194588767297,2.747479102896985
107,10.417575859721632,2.5794736601199757
108,10.585809115748921,2.4872952189054462
109,10.758003408639935,2.3596638436933746
110,10.87158675338913,2.241300008311434
111,11.050552250154956,2.1238200521491466
112,11.222886201331546,2.027789665807013
113,11.399102192939777,1.9063965987498188
114,11.579305643595353,1.8149644978641601
115,11.69400588091851,1.8002413289823969
116,11.880922573432047,1.638195216420736
117,12.060042487650401,1.472201089169803
118,12.181593952274879,1.4063250103486569
119,12.367202557614286,1.2867762401608724
120,12.55684042003699,1.1415964642950254
121,,
122,,
123,,
124,,
125,,
126,,
127,,
