Time_Gyr,AccretionRate_Au1_Msun/yr,AccretionRate_Au2_Msun/yr,AccretionRate_Au3_Msun/yr,AccretionRate_Au4_Msun/yr,AccretionRate_Au5_Msun/yr,AccretionRate_Au6_Msun/yr,AccretionRate_Au7_Msun/yr,AccretionRate_Au8_Msun/yr,AccretionRate_Au9_Msun/yr,AccretionRate_Au10_Msun/yr,AccretionRate_Au11_Msun/yr,AccretionRate_Au12_Msun/yr,AccretionRate_Au13_Msun/yr,AccretionRate_Au14_Msun/yr,AccretionRate_Au15_Msun/yr,AccretionRate_Au16_Msun/yr,AccretionRate_Au17_Msun/yr,AccretionRate_Au18_Msun/yr,AccretionRate_Au19_Msun/yr,AccretionRate_Au20_Msun/yr,AccretionRate_Au21_Msun/yr,AccretionRate_Au22_Msun/yr,AccretionRate_Au23_Msun/yr,AccretionRate_Au24_Msun/yr,AccretionRate_Au25_Msun/yr,AccretionRate_Au26_Msun/yr,AccretionRate_Au27_Msun/yr,AccretionRate_Au28_Msun/yr,AccretionRate_Au29_Msun/yr,AccretionRate_Au30_Msun/yr
0.421785,0.074415,0.534075,0.081106,0.104045,0.110913,-0.063969,0.030706,0.062014,0.0904,0.013576,0.084399,-0.015499,-0.071567,0.182993,0.019835,0.012092,0.118551,0.09859,0.018666,0.005495,0.007107,0.004955,-0.038486,-0.012628,0.215207,0.000632,0.018675,0.038829,0.080756,-0.044238
0.452838,0.064489,-0.041916,-0.070509,0.090235,0.203489,-0.084662,0.064515,-0.007791,0.228873,0.041047,0.047344,0.038711,0.06832,0.168118,0.060177,0.106709,0.031039,0.015869,-0.024613,0.011184,0.066623,0.004107,0.189662,0.009207,0.414846,0.008373,0.078293,0.053658,0.005221,0.163786
0.486176,-0.000655,0.381801,0.090588,0.003916,0.001873,-0.058586,-0.038164,0.034078,0.107138,0.007465,0.074203,0.040574,0.070196,-0.077457,0.01205,-0.019053,0.010551,0.105378,0.10809,-0.014001,0.006446,0.00028,0.134773,0.071254,0.329752,0.011102,0.037414,0.180927,0.573639,0.106142
0.518271,0.397182,0.334439,0.271993,0.067773,0.164037,0.059387,0.038727,-0.012123,0.100126,0.051175,0.203603,0.112479,-0.100842,-0.236193,0.160489,0.185026,0.02362,-0.163123,0.100703,0.026454,0.403821,0.009878,-0.118112,-0.062795,0.328124,0.052464,-0.112604,0.037411,-0.401745,0.425787
0.556419,0.086747,0.554215,2.032067,0.158094,0.005582,0.191468,0.15519,0.42447,0.230828,0.094779,0.068469,0.258073,0.163709,0.776188,0.307146,0.078785,0.165522,0.142592,-0.175649,-0.007108,-0.474957,0.030037,0.336942,0.143664,0.446955,0.271082,0.062388,0.052575,0.887146,0.100565
0.59737,0.085053,0.352897,0.217159,0.272866,0.160132,-0.03257,0.020982,0.449655,-0.196519,0.130015,0.584292,0.284393,0.307697,0.201671,-0.012506,0.121916,-0.374253,0.204124,0.231203,0.186184,0.195136,0.021625,0.230911,0.109396,1.110696,-0.292234,0.232055,-0.04534,0.489949,0.727511
0.64133,0.174136,1.038859,-0.031742,1.029041,0.576608,0.403056,0.079697,1.064115,0.821193,0.028556,0.499875,-0.007473,0.203826,0.288342,0.148723,0.652145,0.132166,0.451338,0.209368,-0.035348,0.191943,0.150686,0.06749,-0.086389,0.761507,0.046461,0.166362,0.26987,3.589234,0.186131
0.688517,0.707654,1.505868,-0.613623,0.482322,0.216815,1.924968,0.105632,0.204734,-0.0793,0.046416,0.198506,-0.092424,1.752463,1.40031,-0.208765,-0.019686,-0.020458,-0.816018,-0.27821,0.096371,0.87583,-0.017081,0.323274,0.137175,-0.279607,0.111795,0.270202,0.315634,-1.250304,0.185534
0.73394,-1.376935,2.221724,1.734601,-0.174701,-0.586058,1.315148,0.566685,0.581058,3.547216,0.609407,0.140179,0.710328,0.038735,-0.290751,-0.217345,5.62204,0.508914,0.365201,0.299036,0.216789,0.589142,0.045845,1.300602,0.371269,0.023096,0.081143,2.491748,-0.258728,1.260932,0.394067
0.787922,1.318038,0.479439,1.820427,0.10567,0.329334,-0.538067,-0.028298,1.686262,-0.512861,0.249842,-0.064762,-0.121715,1.701214,0.872057,0.59366,-1.233696,-0.411231,0.549078,0.103564,0.162127,-0.061614,0.008887,-0.035367,-0.021473,1.021219,0.397347,1.418699,0.913012,0.211401,1.195137
0.845861,3.82065,2.485624,4.585935,1.285796,-0.196764,-0.041825,-0.112978,0.322825,-0.000194,1.003187,0.465385,1.214402,4.344039,1.284007,0.381066,0.240863,2.325308,-0.046398,0.363474,1.027998,0.911261,0.102955,0.809682,0.128936,0.542396,0.355213,0.229251,0.386127,0.001175,3.198853
0.908045,-1.987119,0.358176,-2.365108,0.445247,0.060788,1.281567,0.776453,-0.16811,1.963459,0.591829,0.352291,2.516665,-0.173605,0.077072,-0.283312,0.657544,-1.335839,0.146036,0.541271,0.188138,-0.687126,-0.079937,-0.1555,-0.304448,-0.047764,-0.05223,-1.331914,-0.181754,-2.365052,0.889461
0.967892,1.185557,-0.188794,5.290587,-0.219047,0.460783,-0.269703,-0.048253,-1.128581,-2.427004,-1.255895,0.387376,-1.727841,1.229306,2.380096,1.942497,-0.181454,3.655456,2.675806,0.734278,-0.963765,3.366731,0.010634,-0.497981,0.292204,0.310678,-0.193023,-0.204341,1.254502,5.825046,-0.844773
1.039004,0.663771,2.504419,-0.924158,0.433996,0.243022,0.248365,1.000664,1.182354,1.673601,0.642219,-1.314087,1.726569,1.725128,2.535864,0.215046,0.706173,5.803893,-0.369465,-0.287227,0.191937,-0.254765,0.227011,0.996507,-0.272209,-0.260593,1.821907,0.354171,2.656537,2.489433,0.315885
1.115309,-1.077034,0.338083,27.722972,1.074336,0.571835,0.490893,-1.100399,0.68055,2.648635,0.290973,0.877228,-0.880222,-0.456525,2.734273,1.4302,0.315713,7.020869,2.74685,0.144968,0.446829,7.635034,-0.235224,0.351351,0.216436,0.626213,-0.19334,-0.088435,3.277197,-0.340493,0.859359
1.197182,2.947401,0.818194,22.29626,0.4453,-0.334754,0.611151,-0.321077,0.85089,3.483513,3.603939,2.532958,-0.031805,7.728477,3.679929,0.748493,5.308777,10.115479,-0.528841,-0.71322,1.741181,3.757169,0.847922,0.921444,3.578044,2.516373,5.281311,-0.4215,0.860458,-3.789218,1.012801
1.285018,-0.044785,1.045444,4.137394,0.05676,0.305651,1.251437,2.003484,1.998299,-0.877006,1.284017,0.549258,1.877346,-3.414165,3.189868,-0.192913,0.25001,1.25931,0.588592,0.790732,1.174332,-3.262024,-0.477724,2.616111,-0.974524,-2.090786,-1.087539,0.093274,1.581357,0.279369,-0.318772
1.36952,1.548386,-5.538596,8.537328,-2.352916,5.562928,0.748388,0.590299,1.39779,-3.745853,2.469202,1.28788,-2.711589,5.557204,4.950768,0.364875,2.851479,10.930793,6.952325,0.249113,2.433116,1.923883,0.092465,2.081192,-0.750919,0.917256,1.145967,0.878713,3.657701,1.339822,1.018127
1.469878,3.490073,8.479933,-1.417448,0.617229,-1.314887,0.281033,0.798182,3.132516,0.610334,1.328905,5.434229,0.454763,2.319765,1.196575,0.617092,2.75607,21.463538,8.759483,1.977908,2.357211,4.826733,0.803182,3.436686,2.884435,2.645367,3.341453,0.206884,1.452006,12.348887,1.284409
1.577506,1.130794,-4.44687,-0.266127,0.075407,0.195792,0.440674,-1.588733,0.83365,1.943367,2.493065,1.968602,0.542895,-0.325928,-0.01391,1.086541,1.468022,-5.053528,6.196777,6.103782,1.263269,-0.661505,0.313754,12.947036,-0.695023,6.058648,4.197696,0.420468,-0.54944,1.738858,2.92647
1.692911,7.735291,8.935073,8.45403,0.266447,6.55357,1.652265,1.113013,8.28027,5.095652,1.160821,-2.586763,3.210802,2.347674,15.590466,1.734878,6.87559,-0.756435,4.020785,1.665349,2.486072,1.661798,1.084058,5.924347,0.612929,6.464822,-6.902133,2.583399,1.166151,1.040654,-0.683434
1.81663,38.09269,8.694172,0.983242,0.176883,0.218343,4.939972,0.289032,-2.166871,3.067978,3.420019,2.81755,2.186572,1.502706,4.822702,0.261418,-2.751409,2.257104,1.465621,2.793214,3.176604,4.654723,2.170142,4.717072,1.140061,-6.375016,-0.034878,-0.000614,3.748062,0.25488,-0.441832
