Time_Gyr,Delta1200_Au1,Delta1200_Au2,Delta1200_Au3,Delta1200_Au4,Delta1200_Au5,Delta1200_Au6,Delta1200_Au7,Delta1200_Au8,Delta1200_Au9,Delta1200_Au10,Delta1200_Au11,Delta1200_Au12,Delta1200_Au13,Delta1200_Au14,Delta1200_Au15,Delta1200_Au16,Delta1200_Au17,Delta1200_Au18,Delta1200_Au19,Delta1200_Au20,Delta1200_Au21,Delta1200_Au22,Delta1200_Au23,Delta1200_Au24,Delta1200_Au25,Delta1200_Au26,Delta1200_Au27,Delta1200_Au28,Delta1200_Au29,Delta1200_Au30
0.368524,0.002083,0.00231,0.002819,0.002183,0.001938,0.00233,0.001967,0.002229,0.002215,0.002386,0.002183,0.0023,0.002331,0.002338,0.00162,0.002358,0.002998,0.00203,0.0019,0.002053,0.00226,0.002434,0.00218,0.001922,0.002217,0.002591,0.001786,0.002154,0.002582,0.002094
0.392858,0.0024,0.002683,0.003274,0.002519,0.002596,0.002704,0.00227,0.002584,0.00257,0.002763,0.002525,0.002641,0.002514,0.002714,0.001942,0.002731,0.003513,0.002343,0.002409,0.002368,0.002614,0.002826,0.002526,0.002208,0.002562,0.003015,0.002051,0.002484,0.003011,0.002411
0.421785,0.002808,0.003163,0.003793,0.002956,0.003059,0.00319,0.002659,0.003055,0.003035,0.003268,0.00297,0.003135,0.003187,0.003305,0.00225,0.003187,0.004187,0.002752,0.002823,0.003039,0.003074,0.003268,0.002809,0.002798,0.003013,0.003575,0.002393,0.002912,0.003555,0.002837
0.452838,0.003286,0.003732,0.00457,0.003472,0.003051,0.003501,0.003119,0.003621,0.003598,0.003853,0.003498,0.003702,0.003762,0.003959,0.00261,0.003794,0.004998,0.003237,0.00331,0.003621,0.003618,0.00387,0.003505,0.003283,0.003557,0.004244,0.002792,0.003416,0.00422,0.003324
0.486176,0.003854,0.004407,0.005394,0.004079,0.003582,0.004147,0.003665,0.00431,0.004262,0.004537,0.004127,0.004362,0.004446,0.004709,0.003029,0.004483,0.005967,0.003804,0.003881,0.004267,0.004264,0.004495,0.004127,0.003091,0.004195,0.005039,0.003259,0.004016,0.005096,0.003902
0.518271,0.00446,0.00512,0.00626,0.00472,0.004137,0.004802,0.004241,0.005045,0.004981,0.005268,0.004791,0.005049,0.005177,0.00593,0.003464,0.005253,0.006996,0.004396,0.004482,0.004969,0.004956,0.005228,0.00479,0.004531,0.004874,0.004413,0.004641,0.004646,0.005834,0.004465
0.556419,0.005239,0.00605,0.00739,0.005553,0.004845,0.005791,0.004998,0.006003,0.005924,0.006228,0.005662,0.00599,0.006122,0.006525,0.00402,0.006183,0.008353,0.005166,0.005508,0.005887,0.005542,0.005577,0.005658,0.004121,0.005757,0.005221,0.005493,0.005464,0.007166,0.005241
0.59737,0.006145,0.007164,0.008744,0.00655,0.005691,0.006831,0.005902,0.007143,0.007017,0.007355,0.006695,0.007124,0.007235,0.007816,0.004675,0.007356,0.009714,0.006437,0.006506,0.006957,0.006819,0.006602,0.007887,0.007251,0.006803,0.007731,0.006494,0.006448,0.00858,0.006156
0.64133,0.007222,0.008496,0.010346,0.007731,0.00669,0.008089,0.006966,0.00849,0.008314,0.008445,0.007918,0.008453,0.008562,0.009374,0.005439,0.008794,0.011514,0.007657,0.007682,0.008231,0.008035,0.007818,0.009393,0.004603,0.008052,0.009254,0.007676,0.007614,0.010279,0.007244
0.688517,0.008497,0.010096,0.012245,0.009111,0.007856,0.009565,0.008223,0.01016,0.009878,0.010058,0.009415,0.01,0.010145,0.01127,0.006323,0.010591,0.013836,0.012676,0.006224,0.009757,0.009778,0.00928,0.011209,0.00905,0.009541,0.011504,0.009057,0.008997,0.012382,0.008534
0.73394,0.013596,0.011829,0.01428,0.010568,0.01016,0.011214,0.009557,0.011983,0.011549,0.011802,0.011071,0.01176,0.011818,0.013451,0.008041,0.012438,0.016405,0.014852,0.010533,0.011385,0.011062,0.010798,0.013172,0.006068,0.011127,0.013478,0.010539,0.010001,0.014665,0.00991
0.787922,0.016105,0.014161,0.016919,0.012512,0.012218,0.013367,0.011302,0.014318,0.013791,0.014044,0.013252,0.013953,0.013965,0.016257,0.009404,0.014821,0.019686,0.017793,0.012419,0.013565,0.013097,0.01281,0.013358,0.012862,0.013214,0.011512,0.012502,0.012393,0.017692,0.011753
0.845861,0.01913,0.017016,0.019937,0.014799,0.014643,0.015856,0.013353,0.01712,0.016393,0.016705,0.015885,0.016558,0.016559,0.019575,0.011024,0.017737,0.023605,0.0213,0.014636,0.016191,0.015494,0.017165,0.018715,0.015484,0.015712,0.019179,0.014823,0.014009,0.021364,0.013827
0.908045,0.022852,0.020334,0.022456,0.017484,0.017913,0.018833,0.015835,0.020619,0.019515,0.019886,0.019039,0.019648,0.019712,0.0238,0.012924,0.021274,0.028039,0.025488,0.017268,0.019349,0.01913,0.020611,0.022318,0.015474,0.018696,0.022997,0.01756,0.016587,0.02288,0.016392
0.967892,0.026854,0.024072,0.026324,0.020298,0.021027,0.021985,0.018339,0.024356,0.022889,0.02328,0.02259,0.022959,0.023129,0.027928,0.014901,0.025141,0.032824,0.029994,0.020071,0.022891,0.022045,0.024199,0.026174,0.024153,0.021885,0.027708,0.020452,0.020193,0.030248,0.019107
1.039004,0.031963,0.028972,0.031445,0.023946,0.025477,0.026303,0.0217,0.029175,0.027331,0.027813,0.024689,0.027388,0.027594,0.033275,0.017544,0.030345,0.03907,0.035993,0.023697,0.026906,0.026725,0.028153,0.031222,0.02922,0.026986,0.032641,0.024247,0.024013,0.036477,0.022613
1.115309,0.037993,0.034824,0.037513,0.028278,0.030638,0.034773,0.022018,0.034884,0.032624,0.033212,0.029363,0.032656,0.032994,0.039627,0.020662,0.036743,0.046359,0.043119,0.027994,0.031843,0.031671,0.034171,0.037339,0.035708,0.032616,0.039043,0.028734,0.028631,0.043837,0.026675
1.197182,0.04519,0.042074,0.044388,0.033447,0.036692,0.041638,0.02618,0.041844,0.038907,0.039521,0.034975,0.039029,0.039292,0.047499,0.024467,0.044285,0.055049,0.051675,0.032863,0.037714,0.037809,0.041046,0.044609,0.029389,0.038491,0.047073,0.041706,0.034026,0.04135,0.031637
1.285018,0.053756,0.051302,0.052608,0.03973,0.044032,0.045178,0.03876,0.050237,0.046683,0.046924,0.041798,0.046758,0.046689,0.056888,0.02905,0.053402,0.065626,0.062264,0.038633,0.044584,0.044968,0.048907,0.053872,0.034917,0.043764,0.056929,0.050916,0.040507,0.049058,0.037461
1.36952,0.063035,0.066077,0.061319,0.049036,0.052073,0.053083,0.042067,0.058956,0.058051,0.0547,0.048474,0.054804,0.054611,0.067032,0.033728,0.062677,0.076808,0.073552,0.044893,0.052097,0.052701,0.057171,0.063966,0.041355,0.051141,0.067066,0.060616,0.047684,0.057722,0.043484
1.469878,0.074642,0.078815,0.073074,0.058836,0.062625,0.063205,0.049764,0.070259,0.070219,0.065026,0.057597,0.06295,0.065093,0.083066,0.039763,0.074996,0.091635,0.0881,0.052882,0.061447,0.063066,0.068532,0.077688,0.074538,0.06082,0.080938,0.068511,0.057346,0.087605,0.051335
