SnapNo,Mgas,Mstar,SFR
50,7043509000.0,385954400.0,0.8374056
51,7261698600.0,464325860.0,0.7909095
52,7033488000.0,534727230.0,0.7873225
53,7367373300.0,598019800.0,0.5766405
54,4212766700.0,643108000.0,0.68692356
55,3952851200.0,700514100.0,0.61728114
56,3246010400.0,736460700.0,0.41577113
57,13712358000.0,846836600.0,0.5944487
58,17064402000.0,968097660.0,0.6300883
59,18612378000.0,1577645400.0,3.3154483
60,38323155000.0,2084808100.0,4.5881324
61,42530853000.0,2668947000.0,3.1339304
62,51624110000.0,3073664000.0,2.8364336
63,55958510000.0,3296232000.0,2.3617435
64,68669325000.0,3970773000.0,5.5355506
65,75286110000.0,5465300500.0,9.860028
66,70939080000.0,6246464000.0,8.753658
67,71714130000.0,6913139000.0,7.0394335
68,77767130000.0,8129404000.0,6.2829967
69,78890074000.0,9590357000.0,7.423956
70,78556370000.0,10585843000.0,6.3039145
71,81007290000.0,13131512000.0,8.522347
72,80800190000.0,13789681000.0,7.8866925
73,79913790000.0,14563818000.0,11.293175
74,78198390000.0,15816224000.0,11.776116
75,78039110000.0,16878221000.0,9.720344
76,77556670000.0,17614596000.0,8.9045515
77,76556510000.0,18366249000.0,10.2324
78,76236510000.0,19513448000.0,8.788013
79,75945970000.0,20413315000.0,12.082755
80,74322890000.0,21512270000.0,11.487138
81,76055520000.0,22446258000.0,8.920836
82,77914006000.0,23096498000.0,7.8597655
83,79114470000.0,23657974000.0,6.6030564
84,80749750000.0,24281879000.0,8.087908
85,83060410000.0,24894040000.0,8.4483595
86,86131720000.0,25847230000.0,10.898067
87,89088090000.0,26857794000.0,9.900952
88,90395570000.0,27728568000.0,11.413739
89,93803810000.0,28789985000.0,9.458211
90,96244930000.0,29440328000.0,8.796135
91,98344440000.0,30419978000.0,8.852195
92,98417370000.0,31187210000.0,10.357093
93,98326850000.0,32345108000.0,10.900279
94,98796350000.0,33171606000.0,9.6204195
95,98064720000.0,34001338000.0,10.469672
96,96840240000.0,34890720000.0,9.895128
97,96882850000.0,35763126000.0,7.358321
98,95429130000.0,36409614000.0,8.420086
99,95264390000.0,37058190000.0,7.523071
100,96338940000.0,37687513000.0,8.066196
101,98897400000.0,38194143000.0,6.1075354
102,99859630000.0,38657480000.0,5.5083804
103,101305655000.0,39108596000.0,6.8183174
104,102603506000.0,39688190000.0,7.645029
105,102655190000.0,40366514000.0,6.6932373
106,105654100000.0,40871293000.0,6.125218
107,107018670000.0,41396638000.0,6.3813868
108,108188500000.0,42106900000.0,7.6080375
109,108600150000.0,42810160000.0,7.943794
110,110381460000.0,43310862000.0,7.9699373
111,112136830000.0,43941280000.0,7.3045926
112,114415256000.0,44656430000.0,7.6444635
113,116300800000.0,45374743000.0,6.6082087
114,118351800000.0,46000234000.0,7.887317
115,119130600000.0,46570766000.0,8.442492
116,120146370000.0,47448826000.0,8.5791445
117,120008030000.0,48266646000.0,7.5805335
118,120873976000.0,48754102000.0,7.4972525
119,121597700000.0,49513560000.0,7.5337577
120,122540330000.0,50203304000.0,6.787715
121,122400750000.0,50653310000.0,6.608782
122,122092150000.0,51222073000.0,5.7031174
123,122070745000.0,51702526000.0,4.906414
124,121335250000.0,51995824000.0,4.994528
125,121238650000.0,52360323000.0,4.078571
126,121648200000.0,52566310000.0,3.8918216
127,122079540000.0,52825784000.0,3.2367349
