SnapNo,Mgas,Mstar,SFR,Mcold
35,688286340.0,10688070.0,0.085546315,167681781.94100958
36,769049400.0,13646715.0,0.13919713,273435702.61621404
37,882113340.0,18843424.0,0.12644434,325139320.31930107
38,962844160.0,22593920.0,0.09872762,409367033.4386332
39,1754836600.0,29746814.0,0.20610157,523004235.1577624
40,2424951600.0,45968452.0,0.2572019,580183699.4409207
41,2465404200.0,69034950.0,0.7643288,1330651023.7154262
42,2346828300.0,108884260.0,0.60701764,1065695171.3421144
43,2286588400.0,126625720.0,0.2996542,1905126444.8743448
44,2342655000.0,139209230.0,0.22336395,3282294623.784864
45,4157725200.0,167978940.0,0.52244794,3126445645.947928
46,4293259300.0,200787340.0,0.61240304,3292546490.622764
47,7159692000.0,308776030.0,1.2915373,4902634786.186049
48,7477706000.0,418387780.0,1.3101461,4653917017.504242
49,8239439400.0,493703870.0,1.0394964,4883817943.195473
50,8604333000.0,578889150.0,1.1411139,5468052634.460361
51,9012874000.0,682083200.0,1.3240311000000002,5795770328.893619
52,9679401000.0,802054140.0,1.4875205,9055366544.28682
53,16435586000.0,1090751400.0,3.133011,10018626027.128368
54,17607916000.0,1362388900.0,2.5264003,15307985345.229088
55,21459290000.0,1582481300.0,1.9240466,18502376984.634285
56,23006095000.0,1793923600.0,2.4594648,19620665771.39422
57,52763590000.0,2504680400.0,2.927336,34348954126.08475
58,66370376000.0,5078867000.0,15.485798999999998,24614235499.056614
59,64341107000.0,6553329000.0,12.285189,26702076152.649376
60,71651560000.0,8199700500.0,12.755833,34541460400.670105
61,80789680000.0,10109107000.0,14.666089,30313460830.39547
62,85989380000.0,11599554000.0,13.837379,40413343747.92642
63,97808060000.0,13002054000.0,11.556218,53655277150.77252
64,109983750000.0,15666447000.0,19.640293,48549879600.941864
65,109319780000.0,17691658000.0,19.994081,44913475059.15992
66,115745090000.0,19433239000.0,16.144924,47924979926.91648
67,127823700000.0,21470767000.0,15.562829,57945128205.60787
68,130372120000.0,23823964000.0,17.528570000000002,66650163828.00599
69,139997870000.0,26461420000.0,21.67866,61054821380.66031
70,136168480000.0,30854500000.0,26.942564,45423437256.58061
71,136922580000.0,32840567000.0,20.965124,54844837949.406265
72,142009970000.0,34320015000.0,16.360413,58700295283.488014
73,147061390000.0,35924492000.0,13.074759,61243626356.477036
74,155663630000.0,43208080000.0,22.826982,53931525750.20952
75,150564830000.0,44507546000.0,20.698961,47246532919.13572
76,152155290000.0,49083625000.0,17.793582999999995,44321862422.20496
77,154210070000.0,50036800000.0,14.215215,61720717076.53683
78,153795080000.0,51636888000.0,18.017805,50770958205.973915
79,151694670000.0,53335118000.0,19.890013,55712942182.57752
80,152492300000.0,55393886000.0,19.336573,54644520560.95906
81,153706120000.0,57291400000.0,20.050465,64144402170.11084
82,153620530000.0,59275637000.0,22.364908,57825971741.443886
83,154784610000.0,61923095000.0,22.387596,56842768033.81509
84,155181090000.0,63703130000.0,20.199028,59342729464.23933
85,155099070000.0,65190730000.0,20.620546,64648046451.269966
86,154412610000.0,67207980000.0,21.049631,64761797117.51782
87,153784840000.0,69593210000.0,22.222178,60136864069.117386
88,153479940000.0,71445060000.0,22.35684,59161601777.97122
89,154162920000.0,73716154000.0,20.714613,58817542990.342186
90,155653490000.0,75534030000.0,21.650288,62672989759.34657
91,157360400000.0,77614180000.0,21.76689,59733940192.12821
92,157483290000.0,79263580000.0,20.663486,70191239676.7643
93,157159590000.0,81174250000.0,17.643959,83291407349.89499
94,155813540000.0,82131740000.0,15.243431,71794807118.53838
95,157398070000.0,83738080000.0,17.31581,77330809048.0427
96,159962760000.0,85201380000.0,17.42662,77229229350.9141
97,160389410000.0,87493990000.0,17.917006,71329316853.42041
98,158698670000.0,88597815000.0,16.891560000000002,74492409451.14519
99,155263470000.0,89782830000.0,15.544948000000002,72673631383.53807
100,156341710000.0,91034804000.0,14.348891,70897585532.16165
101,154275100000.0,91823110000.0,13.041268,69423045858.49869
102,152546800000.0,92750370000.0,12.07511,69961632372.18138
103,151763060000.0,93731960000.0,9.815785,77824620763.87166
104,150183330000.0,94257460000.0,9.078617,72808075514.64267
105,148731840000.0,94851950000.0,8.711217,71871488450.02078
106,147082630000.0,95569380000.0,8.567718,74198073439.26704
107,146707970000.0,96756875000.0,7.639658,76441292924.7542
108,145432430000.0,97381170000.0,8.693297,75704984509.96252
109,144715920000.0,97916470000.0,8.651665,73318389881.3087
110,143652590000.0,98112430000.0,7.1336584,80742152790.19917
111,145431560000.0,98766496000.0,7.4923425,81035685856.19792
112,145031760000.0,99636806000.0,8.890167,74955018971.8362
113,145427300000.0,102505070000.0,8.812739,74461453774.47897
114,144398250000.0,102095600000.0,8.6266575,74112277967.71501
115,144886190000.0,102567715000.0,8.238864,74352013659.79417
116,143731870000.0,103706040000.0,7.6578827,75692081028.81291
117,143959000000.0,105458000000.0,8.2205,72452701529.16055
118,144110450000.0,106118700000.0,7.682858500000001,76812577916.7412
119,145324210000.0,107298440000.0,8.134636,75128349631.01227
120,145261130000.0,108777610000.0,7.3814454,75453951228.49254
121,148251850000.0,110160536000.0,7.188144,76310025360.24265
122,149811480000.0,112783080000.0,7.873417,75025875424.0005
123,130493915000.0,113504570000.0,8.436691,71919108775.37692
124,117482684000.0,114040320000.0,8.596663000000001,69438097572.04492
125,100253060000.0,114680570000.0,7.339919,67125965608.627785
126,90041115000.0,114987475000.0,6.0309806,67087501683.65073
127,83030220000.0,115391030000.0,4.8910300000000015,66761794435.39685
