SnapNo,Mgas,Mstar,SFR,Mcold
35,618753600.0,6914216.5,0.049074996,200824952.3720677
36,710014900.0,8531827.0,0.07197908,240465397.76082227
37,771318600.0,10878154.0,0.09513477,260266223.63348305
38,1067022100.0,14850627.0,0.0921257,287541208.93457264
39,2137821800.0,25344742.0,0.24889523,359443411.1650092
40,2252427500.0,38724776.0,0.25441936,456641022.35255945
41,2690349000.0,62560144.0,0.4266935000000001,459864691.58217686
42,2852155000.0,87557800.0,0.47406304,520056358.4684093
43,3149128200.0,106738420.0,0.35179898,761984909.3907692
44,3540627200.0,128268104.0,0.38292667,1134143886.3971207
45,4154745000.0,151698110.0,0.4428583,1438050757.8349712
46,4578916000.0,177169630.0,0.48782516,1277565361.830121
47,5402781700.0,210188620.0,0.5583413,1671448063.8151858
48,6185097000.0,255710640.0,0.67239356,1664193157.2552092
49,7206522000.0,304047780.0,0.7504321,1692403014.33659
50,8868670000.0,424891100.0,2.031151,1684460717.4308472
51,9432047000.0,585462340.0,1.5049399,2192469696.17452
52,10526619000.0,701982850.0,1.4243743,5598951741.898957
53,13047335000.0,927956200.0,2.455879,5570132411.917344
54,13080204000.0,1161727600.0,1.9080107,8737774155.868914
55,14068691000.0,1364907500.0,1.6945131999999998,10272737267.802702
56,16786305000.0,1578142500.0,2.6247377,9655792216.606647
57,16483289000.0,1826616000.0,2.0915918,9124131111.133749
58,18351206000.0,1997666700.0,1.9310883,11347518185.569052
59,17424929000.0,2178187500.0,2.107424,10490785497.330141
60,14889328000.0,2376672500.0,2.2204623,12777127226.48722
61,13202219000.0,2592268800.0,2.4516318,14129717733.87058
62,12100517000.0,2801036800.0,2.3882005,27509394213.22708
63,66726388000.0,3631745800.0,9.6569805,40205866758.72126
64,81686870000.0,5760460300.0,14.577518,38414149375.9268
65,92928434000.0,8073661000.0,13.404175,40597971996.49332
66,92540300000.0,11079579000.0,20.56284,24256294199.77591
67,86962770000.0,12153436000.0,15.402344,30020850447.81954
68,94127630000.0,16093833000.0,16.592422,30183362467.77848
69,98129700000.0,19299547000.0,17.951382000000006,18107862909.22404
70,95722840000.0,20855060000.0,13.583691,23398483873.646225
71,92678350000.0,22257529000.0,14.220395000000002,22991628027.03271
72,91843790000.0,23793338000.0,14.876856,23774051243.65667
73,92640530000.0,25347121000.0,14.351042,20107879596.411564
74,95822184000.0,26819858000.0,12.016642,21869984828.210827
75,92166650000.0,27970988000.0,13.420615,26066551532.4918
76,92275515000.0,29231280000.0,15.6170845,23956363979.435387
77,97298964000.0,30670453000.0,16.03882,29332511005.936905
78,103073280000.0,32544887000.0,15.62742,33545557470.054005
79,111980400000.0,34130035000.0,15.416382999999998,45780716477.68006
80,123195230000.0,36346212000.0,19.904438,43056581714.12863
81,125790340000.0,39531287000.0,31.750591,34351549613.422974
82,124550050000.0,41958162000.0,25.361738,50534261734.4821
83,130236110000.0,44302970000.0,23.562681,46021304419.332985
84,132007220000.0,46932270000.0,25.71756700000001,50956255576.106964
85,134447010000.0,48580910000.0,21.57874,55490480391.982735
86,138913780000.0,50542900000.0,18.064823,62395564914.63011
87,144162570000.0,52338205000.0,15.839425,73200807613.67143
88,144675620000.0,53800124000.0,21.179644,64561934027.397125
89,157647060000.0,58627555000.0,27.72755,51777486082.7222
90,162539910000.0,60292612000.0,18.381168,72046291176.64241
91,158863950000.0,61692363000.0,17.180126,62963656167.68817
92,158136470000.0,63776027000.0,18.309778,64258638829.917274
93,158828150000.0,65947947000.0,18.22244,64442865605.54447
94,159800180000.0,67618124000.0,16.927882999999998,68564055765.39707
95,160966590000.0,68939630000.0,16.65063,71099357379.59215
96,154758270000.0,70465085000.0,19.559088,66790925875.37216
97,151255200000.0,72831940000.0,18.397287,52229442483.74139
98,149580140000.0,74305135000.0,18.608166,55442212075.21514
99,146739330000.0,75542454000.0,16.200726,61010426925.59156
100,145235440000.0,76671280000.0,14.603764000000002,56053584928.52666
101,140236110000.0,77821080000.0,16.184038,60341291272.65782
102,137559300000.0,79125850000.0,14.776485999999998,51047650538.660034
103,146392660000.0,81024400000.0,13.969399,53389565455.15638
104,155575170000.0,89330940000.0,19.708029,44801756409.457726
105,144486150000.0,88566000000.0,15.069446,44024839358.9848
106,140748110000.0,88849826000.0,11.8356,42802674731.616615
107,142150960000.0,95245340000.0,8.853688,45095264823.6093
108,143679140000.0,110527290000.0,17.58596,45373918738.992035
109,142124250000.0,115225010000.0,8.287514,54599048467.999535
110,140669350000.0,115603980000.0,10.113833,44986423396.6416
111,138269720000.0,116367840000.0,10.872897,52861931405.00405
112,136382470000.0,117294120000.0,10.404092,55732793962.93787
113,135439550000.0,118199210000.0,11.505948,50200253857.11534
114,135436730000.0,118927420000.0,9.453588,53256501827.493546
115,135512770000.0,119527370000.0,9.739046,56807839888.06134
116,137295030000.0,120204485000.0,8.114353999999999,63483408670.129585
117,141157780000.0,121340410000.0,8.897242,53094637798.94605
118,142314620000.0,122059410000.0,8.312486999999999,62043790098.83547
119,144341960000.0,123090220000.0,9.434067,62862618811.19744
120,145418810000.0,123973616000.0,9.2790165,62599203259.060974
121,146560610000.0,124730190000.0,9.564053,57795797880.502365
122,148846250000.0,125614270000.0,8.770092,62788754833.67784
123,151210510000.0,126299330000.0,9.056917,65840463342.48349
124,152916770000.0,127136660000.0,9.130869,60247733990.9383
125,155045740000.0,128014580000.0,8.349547,69244897524.04622
126,156162420000.0,128761880000.0,9.312733,66254480550.70119
127,156926920000.0,129775710000.0,8.324411,67293901034.965126
