SnapNo,Mgas,Mstar,SFR,Mcold
35,765184100.0,17720368.0,0.119753465,527552555.98789483
36,837516400.0,21018158.0,0.073973574,519503452.75321066
37,926635000.0,25014674.0,0.11700629,572099544.3610356
38,930825900.0,30997126.0,0.18305144,836086656.1774138
39,1129558100.0,38390290.0,0.12844308,1370344129.4116495
40,3186938000.0,61042040.0,0.6473473000000001,1784609286.7886477
41,3433439200.0,123752510.0,1.4678456,1706195392.6720328
42,3233464600.0,194363120.0,1.2196065,1663599752.0767953
43,3552123000.0,240822720.0,0.7481569,2495478315.930951
44,4000461800.0,275605660.0,0.69098514,2855164393.716584
45,4099825000.0,326402340.0,1.0378624,2615728485.707518
46,4719086000.0,378407200.0,0.8732034,3082229696.6654162
47,5010324000.0,435529180.0,1.0279485000000002,2796320214.4053698
48,5408411000.0,508282200.0,1.0327767,3160756394.993431
49,6268817400.0,573882900.0,1.0523499,3542807200.8107576
50,7086545400.0,660429760.0,1.2061412,3123755513.125016
51,8872707000.0,748646900.0,0.8259089,3663257886.951396
52,10131173000.0,801569100.0,0.5734758000000001,4154270737.702949
53,11487163000.0,857864500.0,0.79815364,3877870705.49045
54,13027771000.0,923906370.0,0.8090430000000001,4907326120.74566
55,14376944000.0,1014122500.0,1.0065111,6498567198.720957
56,15424825000.0,1163074000.0,1.8914723,6646366468.032318
57,16043956000.0,1366476200.0,1.9618777,7920589193.459626
58,18194510000.0,1542022400.0,1.7545419999999998,8362837168.807645
59,18814460000.0,1814058800.0,2.2599268,8341097761.292225
60,19605676000.0,2025442600.0,1.8758533,9410184102.361277
61,19750975000.0,2187112700.0,1.7888392,8944790683.78578
62,20302380000.0,2329683500.0,1.5851926,9403964793.488405
63,21396103000.0,2465645600.0,1.6891546999999998,10017882950.02068
64,22665000000.0,2629482200.0,1.5844216,10537504269.418194
65,28057528000.0,2790354700.0,1.7018400000000002,12544404984.929184
66,37618258000.0,2965415000.0,1.8930912,18314896165.180058
67,45057820000.0,3244451300.0,2.5105808,27312756993.393776
68,41845530000.0,3581597000.0,3.3192432000000003,25909927782.31509
69,50889732000.0,4451620000.0,4.08863,27020157175.895203
70,50902300000.0,4760266000.0,3.2345042,30747703118.37358
