SnapNo,Mgas,Mstar,SFR
35,688286340.0,10688070.0,0.085546315
36,769049400.0,13646715.0,0.13919713
37,882113340.0,18843424.0,0.12644434
38,962844160.0,22593920.0,0.09872762
39,1754836600.0,29746814.0,0.20610157
40,2424951600.0,45968452.0,0.2572019
41,2465404200.0,69034950.0,0.7643288
42,2346828300.0,108884260.0,0.60701764
43,2286588400.0,126625720.0,0.2996542
44,2342655000.0,139209230.0,0.22336395
45,4157725200.0,167978940.0,0.52244794
46,4293259300.0,200787340.0,0.61240304
47,7159692000.0,308776030.0,1.2915373
48,7477706000.0,418387780.0,1.3101461
49,8239439400.0,493703870.0,1.0394964
50,8604333000.0,578889150.0,1.1411139
51,9012874000.0,682083200.0,1.3240311
52,9679401000.0,802054140.0,1.4875205
53,16435586000.0,1090751400.0,3.133011
54,17607916000.0,1362388900.0,2.5264003
55,21459290000.0,1582481300.0,1.9240466
56,23006095000.0,1793923600.0,2.4594648
57,52763590000.0,2504680400.0,2.927336
58,66370376000.0,5078867000.0,15.485799
59,64341107000.0,6553329000.0,12.285189
60,71651560000.0,8199700500.0,12.755833
61,80789680000.0,10109107000.0,14.666089
62,85989380000.0,11599554000.0,13.837379
63,97808060000.0,13002054000.0,11.556218
64,109983750000.0,15666447000.0,19.640293
65,109319780000.0,17691658000.0,19.994081
66,115745090000.0,19433239000.0,16.144924
67,127823700000.0,21470767000.0,15.562829
68,130372120000.0,23823964000.0,17.52857
69,139997870000.0,26461420000.0,21.67866
70,136168480000.0,30854500000.0,26.942564
71,136922580000.0,32840567000.0,20.965124
72,142009970000.0,34320015000.0,16.360413
73,147061390000.0,35924492000.0,13.074759
74,155663630000.0,43208080000.0,22.826982
75,150564830000.0,44507546000.0,20.698961
76,152155290000.0,49083625000.0,17.793583
77,154210070000.0,50036800000.0,14.215215
78,153795080000.0,51636888000.0,18.017805
79,151694670000.0,53335118000.0,19.890013
80,152492300000.0,55393886000.0,19.336573
81,153706120000.0,57291400000.0,20.050465
82,153620530000.0,59275637000.0,22.364908
83,154784610000.0,61923095000.0,22.387596
84,155181090000.0,63703130000.0,20.199028
85,155099070000.0,65190730000.0,20.620546
86,154412610000.0,67207980000.0,21.049631
87,153784840000.0,69593210000.0,22.222178
88,153479940000.0,71445060000.0,22.35684
89,154162920000.0,73716154000.0,20.714613
90,155653490000.0,75534030000.0,21.650288
91,157360400000.0,77614180000.0,21.76689
92,157483290000.0,79263580000.0,20.663486
93,157159590000.0,81174250000.0,17.643959
94,155813540000.0,82131740000.0,15.243431
95,157398070000.0,83738080000.0,17.31581
96,159962760000.0,85201380000.0,17.42662
97,160389410000.0,87493990000.0,17.917006
98,158698670000.0,88597815000.0,16.89156
99,155263470000.0,89782830000.0,15.544948
100,156341710000.0,91034804000.0,14.348891
101,154275100000.0,91823110000.0,13.041268
102,152546800000.0,92750370000.0,12.07511
103,151763060000.0,93731960000.0,9.815785
104,150183330000.0,94257460000.0,9.078617
105,148731840000.0,94851950000.0,8.711217
106,147082630000.0,95569380000.0,8.567718
107,146707970000.0,96756875000.0,7.639658
108,145432430000.0,97381170000.0,8.693297
109,144715920000.0,97916470000.0,8.651665
110,143652590000.0,98112430000.0,7.1336584
111,145431560000.0,98766496000.0,7.4923425
112,145031760000.0,99636806000.0,8.890167
113,145427300000.0,102505070000.0,8.812739
114,144398250000.0,102095600000.0,8.6266575
115,144886190000.0,102567715000.0,8.238864
116,143731870000.0,103706040000.0,7.6578827
117,143959000000.0,105458000000.0,8.2205
118,144110450000.0,106118700000.0,7.6828585
119,145324210000.0,107298440000.0,8.134636
120,145261130000.0,108777610000.0,7.3814454
121,148251850000.0,110160536000.0,7.188144
122,149811480000.0,112783080000.0,7.873417
123,130493915000.0,113504570000.0,8.436691
124,117482684000.0,114040320000.0,8.596663
125,100253060000.0,114680570000.0,7.339919
126,90041115000.0,114987475000.0,6.0309806
127,83030220000.0,115391030000.0,4.89103
