SnapNo,Mgas,Mstar,SFR
50,14727436000.0,1276368800.0,2.835605
51,15938021000.0,1530581200.0,2.4405372
52,16773443000.0,1730871900.0,2.177361
53,20279968000.0,1991518300.0,2.227834
54,25480202000.0,2332369400.0,2.2986934
55,27640110000.0,3342221000.0,6.53586
56,24279669000.0,4077684200.0,5.3652253
57,24253890000.0,4367098000.0,2.5680037
58,25301600000.0,4498472400.0,1.6069367
59,27247772000.0,4609690000.0,1.6413752
60,30165234000.0,4753239000.0,1.7643437
61,31724546000.0,4893935600.0,2.1542203
62,34779443000.0,5111016000.0,2.261856
63,37258637000.0,5335027000.0,2.844189
64,40285020000.0,5621577700.0,3.052221
65,43024626000.0,5886673400.0,2.703631
66,45625463000.0,6247932400.0,5.0347686
67,46959178000.0,6684855300.0,5.5536094
68,49388732000.0,7241609000.0,4.6467595
69,54585086000.0,7642984000.0,4.790965
70,59562672000.0,8141752300.0,4.518483
71,65917670000.0,8832294000.0,7.2657175
72,74431350000.0,9244246000.0,3.820009
73,80785680000.0,9820085000.0,4.4915304
74,86735780000.0,10907329000.0,9.898882
75,88463660000.0,11919970000.0,10.290355
76,87003730000.0,12669483000.0,10.017826
77,90600020000.0,13466427000.0,7.7182493
78,90180200000.0,14028397000.0,6.0598183
79,93710640000.0,14617606000.0,6.0696325
80,98650310000.0,15380073000.0,5.908733
81,106474180000.0,18219452000.0,11.153147
82,107049510000.0,18528846000.0,6.934223
83,111906930000.0,19947045000.0,8.791996
84,117450650000.0,20927280000.0,9.510279
85,118020110000.0,21978917000.0,14.168832
86,117428986000.0,23659504000.0,15.732472
87,120466000000.0,25304654000.0,13.46903
88,123063420000.0,26266018000.0,11.647067
89,121007096000.0,27453387000.0,12.495671
90,118815425000.0,28370848000.0,11.40118
91,116729350000.0,29513960000.0,9.586688
92,116178280000.0,30178650000.0,8.663146
93,114291680000.0,30970354000.0,7.8948035
94,113852140000.0,31464393000.0,7.6418123
95,113326520000.0,32128414000.0,8.559852
96,114068185000.0,32901265000.0,10.602548
97,115741950000.0,34372194000.0,10.98523
98,116128670000.0,35717550000.0,14.438569
99,115646310000.0,36825633000.0,10.484229
100,116109610000.0,37803800000.0,10.8278055
101,115586530000.0,38588576000.0,9.4633045
102,115775820000.0,39331025000.0,8.538556
103,116134170000.0,39952302000.0,6.859578
104,116246200000.0,41666884000.0,8.453998
105,116379200000.0,41793552000.0,7.6915736
106,116408795000.0,42915865000.0,10.383556
107,116491020000.0,43957645000.0,12.556182
108,116519050000.0,45620800000.0,11.393831
109,115764945000.0,46578160000.0,11.355069
110,115911890000.0,47444150000.0,11.5712595
111,116005850000.0,48765330000.0,11.933211
112,116610810000.0,49862128000.0,11.018993
113,116693160000.0,50893430000.0,11.260327
114,115202960000.0,52115534000.0,11.285663
115,114610270000.0,52864897000.0,10.96576
116,113557980000.0,53747053000.0,8.976856
117,113283880000.0,54595670000.0,8.876245
118,112486920000.0,55225696000.0,9.9726925
119,112489770000.0,56260130000.0,9.509578
120,111451340000.0,57281100000.0,10.304689
121,111240405000.0,57951700000.0,9.34821
122,110817850000.0,58832015000.0,8.6658535
123,109971330000.0,59699474000.0,9.366227
124,109223480000.0,60411826000.0,9.586361
125,107593880000.0,61402870000.0,9.152369
126,106581090000.0,61993300000.0,8.075746
127,103829410000.0,62711890000.0,7.504869
