Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30.0,0.9016270192750335,6.1788363000124304,0.13929834282448653,4.169976714831995,3.137715859462395,2.505346960206838
31.0,0.9408235520130295,5.977616828479627,0.14331540762147194,4.372000398961609,3.2343723917418883,2.560645733229267
32.0,0.9817162432109339,5.782037445957332,0.14744831593285945,4.528875459851027,3.3253154057426975,2.615284769286841
33.0,1.0171412614273008,5.623248840958556,0.15098330502335075,4.682035076235473,3.4011456872202284,2.660795516294545
34.0,1.061333567335198,5.437602229737511,0.15533733901430788,4.848608235809641,3.4757014346066284,2.7106234691140054
35.0,1.0996152207180008,5.2868779251693665,0.15906146292367532,4.97017681490704,3.5290188111822998,2.7455030129551967
36.0,1.1392690677058177,5.139682545684944,0.16287487057499644,5.3618884233636335,3.739389087200212,2.874336086586539
37.0,1.1887329941227875,4.9675900747618,0.16757183175654297,5.4264215331795596,3.759975900674092,2.8894950006973548
38.0,1.222887837331828,4.855550003953163,0.170778150528112,5.574115331749488,3.8361401552528123,2.9369888911130952
39.0,1.2669540184102086,4.718453353567881,0.17487245906728888,5.775633109588029,3.955148102149452,3.0069698188197735
40.0,1.3125949903702092,4.584566562467239,0.1790649263133152,5.923271086707633,4.03943483837528,3.0573955136859357
41.0,1.359865573512625,4.453814477855031,0.1833579055650784,6.109620263729401,4.199661981260421,3.1819789282073936
42.0,1.3988933134958883,4.351420420518502,0.18686627501098288,6.225019987025993,4.267294032553831,3.2130048401770708
43.0,1.449240943696033,4.226127012732526,0.19134628713838725,6.375499393075173,4.377058259564188,3.2963507618815004
44.0,1.4908067298866303,4.128007732884895,0.19500750624598293,6.505361946683713,4.513340470455891,3.4044914123079355
45.0,1.5335511640597344,4.031730618957529,0.198738779105623,6.644348379722244,4.627885449459324,3.503715204114333
46.0,1.577506484958674,3.9372610847275835,0.20254144612552438,6.789281163479861,4.7177935665613,3.60250017368289
47.0,1.6227057098538533,3.844565193320247,0.2064168733612696,6.936081428484766,4.809717913851655,3.6627115813205604
48.0,1.669182644236522,3.753609645017388,0.21036645300654302,7.068090180232447,4.903779609043935,3.7139533883928983
49.0,1.7169718907593048,3.66436176529508,0.2143916038932579,7.244436777931315,5.010665391647754,3.767359697141312
50.0,1.7661088573246462,3.5767894930857462,0.21849377200125142,7.540523899819326,5.137203422661924,3.825968027231137
51.0,1.816629764214748,3.4908613692606485,0.22267443097773348,7.806573616394418,5.27024103790749,3.874231071015795
52.0,1.8685716501485172,3.4065465253286398,0.22693508266667403,8.163329676512445,5.5210862155818665,3.9221797450475626
53.0,1.9084833274036512,3.344350865135782,0.23018398629474995,8.416292190684349,5.713054593710696,3.9633753681624064
