# TotalGas TotalStar DiscGas DiscColdGas SFGas DiscStar
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
5.645155324600636959e-04 5.796372533950489014e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.272872560657560825e-04 5.645658347930293530e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.205319771543145180e-03 5.520920694834785536e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.999978907406330109e-03 1.947447162820026278e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.268902258947491646e-03 2.472938467690255493e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.086188644170761108e-03 2.383903120062313974e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.278731394559144974e-03 2.070914342766627669e-05 8.190157132048625499e-06 8.190157132048625499e-06 8.190157132048625499e-06 0.000000000000000000e+00
7.547125220298767090e-03 5.883732592337764800e-05 3.449170617386698723e-05 0.000000000000000000e+00 3.449170617386698723e-05 0.000000000000000000e+00
1.182549819350242615e-02 7.766288763377815485e-05 1.008294930215924978e-04 0.000000000000000000e+00 1.008294930215924978e-04 1.669848461460787803e-05
1.996932178735733032e-02 1.405650400556623936e-04 1.944669638760387897e-04 0.000000000000000000e+00 1.944669638760387897e-04 5.342419626686023548e-06
2.508629858493804932e-02 2.893820346798747778e-04 3.276804345659911633e-04 0.000000000000000000e+00 3.276804345659911633e-04 3.736303187906742096e-05
3.297417238354682922e-02 6.057513528503477573e-04 6.616362952627241611e-04 0.000000000000000000e+00 6.616362952627241611e-04 5.929049075348302722e-05
3.978580236434936523e-02 9.292613831348717213e-04 8.367749978788197041e-04 0.000000000000000000e+00 8.367749978788197041e-04 1.801196631276980042e-04
2.703083306550979614e-02 6.520176248159259558e-05 1.028006299748085439e-04 5.758051702287048101e-05 9.510562085779383779e-05 0.000000000000000000e+00
4.864928871393203735e-02 2.209825470345094800e-04 2.308546245330944657e-04 0.000000000000000000e+00 2.308546245330944657e-04 2.171525920857675374e-05
7.808937132358551025e-02 5.056001245975494385e-04 4.974506446160376072e-04 5.484662779053905979e-06 4.919659695588052273e-04 3.210193244740366936e-05
1.044607907533645630e-01 8.057936211116611958e-04 5.364518729038536549e-04 5.291620254865847528e-06 5.364518729038536549e-04 2.592884266050532460e-05
1.127318292856216431e-01 2.248779404908418655e-03 2.513183746486902237e-03 0.000000000000000000e+00 2.513183746486902237e-03 5.820058868266642094e-04
1.432692408561706543e-01 2.011094707995653152e-03 1.610589912161231041e-03 0.000000000000000000e+00 1.610589912161231041e-03 2.130052016582340002e-04
1.665250658988952637e-01 3.756629768759012222e-03 4.927787464112043381e-03 0.000000000000000000e+00 4.927787464112043381e-03 1.130453660152852535e-03
1.860567927360534668e-01 4.860945045948028564e-03 7.114042993634939194e-03 0.000000000000000000e+00 7.114042993634939194e-03 1.587549457326531410e-03
2.053681761026382446e-01 7.278661709278821945e-03 2.237691543996334076e-02 6.024969025020254776e-06 2.237088978290557861e-02 3.237909171730279922e-03
2.262553572654724121e-01 9.995898231863975525e-03 1.609991863369941711e-02 9.413755833520554006e-06 1.609050482511520386e-02 3.084119409322738647e-03
2.343846559524536133e-01 1.232330314815044403e-02 2.134136110544204712e-02 5.642030737362802029e-05 2.132098749279975891e-02 5.414867773652076721e-03
3.004813790321350098e-01 1.482729613780975342e-02 2.214605733752250671e-02 4.925995017401874065e-05 2.211860567331314087e-02 6.441732868552207947e-03
