Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30.0,0.9016270192750335,6.1788363000124304,0.13929834282448653,2.8685704507647305,2.231924847058412,1.8641873046212603
31.0,0.9408235520130295,5.977616828479627,0.14331540762147194,3.1306937333670084,2.3574871409810165,1.980720285768779
32.0,0.9817162432109339,5.782037445957332,0.14744831593285945,3.2186855149129334,2.416040360364493,2.0160601650097125
33.0,1.0171412614273008,5.623248840958556,0.15098330502335075,3.293724768184074,2.463200520106934,2.0481527134257274
34.0,1.061333567335198,5.437602229737511,0.15533733901430788,3.381406604054757,2.525793794707305,2.089495458809031
35.0,1.0996152207180008,5.2868779251693665,0.15906146292367532,3.456847147192584,2.5768545044454387,2.127168475156397
36.0,1.1392690677058177,5.139682545684944,0.16287487057499644,3.5280987393971452,2.6223234132110638,2.1640663237024893
37.0,1.1887329941227875,4.9675900747618,0.16757183175654297,3.6143280464799528,2.6825219148021913,2.205917519944402
38.0,1.222887837331828,4.855550003953163,0.170778150528112,3.674983322117232,2.724653091198065,2.2341238197595765
39.0,1.2669540184102086,4.718453353567881,0.17487245906728888,3.748944792001293,2.7765870076861043,2.271678398054345
40.0,1.3125949903702092,4.584566562467239,0.1790649263133152,3.832989645685299,2.8299689404028188,2.314023009073973
41.0,1.359865573512625,4.453814477855031,0.1833579055650784,3.9259245532835902,2.8890543981875316,2.3643147671579983
42.0,1.3988933134958883,4.351420420518502,0.18686627501098288,4.0082061517848935,2.942497089625226,2.4035422829457
43.0,1.449240943696033,4.226127012732526,0.19134628713838725,4.1387494928715505,3.011795009140308,2.4580476135454594
44.0,1.4908067298866303,4.128007732884895,0.19500750624598293,4.2467308186715655,3.0724238183836556,2.506153588115833
45.0,1.5335511640597344,4.031730618957529,0.198738779105623,4.347046649226354,3.130861516251578,2.553916971366096
46.0,1.577506484958674,3.9372610847275835,0.20254144612552438,4.446316705897052,3.1872424114957263,2.5911803123401254
47.0,1.6227057098538533,3.844565193320247,0.2064168733612696,4.535760235511264,3.2455098250535266,2.631052297687466
48.0,1.669182644236522,3.753609645017388,0.21036645300654302,4.628533534155462,3.30275493315796,2.674662946718546
49.0,1.7169718907593048,3.66436176529508,0.2143916038932579,4.729902165070611,3.362173364722792,2.720946779608633
50.0,1.7661088573246462,3.5767894930857462,0.21849377200125142,4.857436222516919,3.4357058073347533,2.767863515842285
51.0,1.816629764214748,3.4908613692606485,0.22267443097773348,5.020321653131385,3.531397994782869,2.8110277089329108
52.0,1.8685716501485172,3.4065465253286398,0.22693508266667403,5.143700330586581,3.6397867562741433,2.8527667128789065
53.0,1.9084833274036512,3.344350865135782,0.23018398629474995,5.2344148716851615,3.7179068820486965,2.8849920414554524
