# TotalGas TotalStar DiscGas DiscColdGas SFGas DiscStar
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
8.547608013032004237e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.118395739467814565e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.393816102994605899e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.427728661336004734e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.613489436451345682e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.665326607413589954e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.094855251722037792e-03 7.937988812045659870e-06 7.314171853067819029e-06 7.314171853067819029e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.749682007357478142e-03 1.466102548874914646e-05 9.759969543665647507e-06 9.759969543665647507e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.928961952216923237e-03 1.346742737950989977e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.109414130449295044e-03 5.351161235012114048e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.302750341594219208e-03 9.894221875583752990e-06 6.549452336912509054e-06 6.549452336912509054e-06 0.000000000000000000e+00 0.000000000000000000e+00
6.170320324599742889e-03 2.064962973236106336e-05 1.412863639416173100e-05 1.412863639416173100e-05 5.201105977903353050e-06 0.000000000000000000e+00
1.314806099981069565e-02 3.765512883546762168e-05 4.846200317842885852e-05 7.607198313053231686e-06 4.846200317842885852e-05 0.000000000000000000e+00
1.448099873960018158e-02 5.560705176321789622e-05 1.633060310268774629e-05 1.633060310268774629e-05 8.612700185040012002e-06 0.000000000000000000e+00
1.595283485949039459e-02 3.259532604715786874e-05 9.838426922215148807e-05 1.686877658357843757e-05 9.838426922215148807e-05 0.000000000000000000e+00
2.116789482533931732e-02 1.022745127556845546e-04 8.932224591262638569e-05 1.587266706337686628e-05 8.101775893010199070e-05 0.000000000000000000e+00
2.711368724703788757e-02 1.713717792881652713e-04 2.038513921434059739e-04 3.951116013922728598e-05 1.860371266957372427e-04 2.012754703173413873e-05
3.341272100806236267e-02 2.712565474212169647e-04 3.623253433033823967e-04 0.000000000000000000e+00 3.623253433033823967e-04 2.636518911458551884e-05
3.886550292372703552e-02 3.695851482916623354e-04 7.575264316983520985e-04 1.346183398709399626e-05 7.502636290155351162e-04 6.729546294081956148e-05
4.965599626302719116e-02 5.974801024422049522e-04 1.730456366203725338e-03 0.000000000000000000e+00 1.730456366203725338e-03 2.126521867467090487e-04
6.246212869882583618e-02 9.088090155273675919e-04 3.009832696989178658e-03 4.963427272741682827e-06 3.004869213327765465e-03 2.647712826728820801e-04
8.255554735660552979e-02 1.317621674388647079e-03 3.148079849779605865e-03 0.000000000000000000e+00 3.148079849779605865e-03 4.060995415784418583e-04
9.545856714248657227e-02 1.706307986751198769e-03 2.933806274086236954e-03 0.000000000000000000e+00 2.933806274086236954e-03 4.810002574231475592e-04
1.270894557237625122e-01 2.166975522413849831e-03 6.337158381938934326e-03 7.383432966889813542e-05 6.285835057497024536e-03 9.360139956697821617e-04
1.092076301574707031e-01 1.314593711867928505e-03 6.051155272871255875e-03 1.951619560713879764e-05 6.041487678885459900e-03 4.385120118968188763e-04
